contract_id,topic,enforced,prohibition_rule,status_label,non_signal,source_preserved,official_approval,production_ready,broker_ready,details
no_live_trading_contract,Live Trading Prohibition,True,"Zero real capital exposure, zero order routing, zero exchange integration.",runtime_ready,True,True,False,False,False,Model execution layer has zero connection to live accounts.
no_broker_contract,Broker Integration Prohibition,True,"Zero broker API calls, zero fix/rest broker connections.",runtime_ready,True,True,False,False,False,Broker communication strictly forbidden.
no_signal_generation_contract,Signal Generation Prohibition,True,"Zero buy/sell recommendations, trade alerts, or directional trade directives.",runtime_ready,True,True,False,False,False,Outputs are non-signal research foundations.
no_model_training_contract,Model Training Prohibition in Phase 136,True,"Zero fit, train, gradient descent, or optimization routine execution.",runtime_ready,True,True,False,False,False,Phase 136 is runtime discovery and governance only.
no_inference_contract,Inference and Prediction Prohibition in Phase 136,True,"Zero predict, forecast, transform, or scoring evaluations on data.",runtime_ready,True,True,False,False,False,Model evaluation strictly blocked.
no_target_label_contract,Target and Label Generation Prohibition,True,"Zero forward return calculation, shift(-1), future return, or ground truth labels.",runtime_ready,True,True,False,False,False,No supervised targets generated in Phase 136.
no_backtest_optimizer_contract,Backtest and Optimizer Execution Prohibition,True,"Zero strategy simulation, parameter tuning, or portfolio optimization.",runtime_ready,True,True,False,False,False,No backtest harness invoked.
no_artifact_persistence_contract,Model Artifact Persistence Prohibition,True,"Zero serialized weights, torchscript saves, or model checkpoint files.",runtime_ready,True,True,False,False,False,Governance placeholders only.
no_model_registry_write_contract,Model Registry Write Prohibition,True,Zero model versioning commits or registry writes.,runtime_ready,True,True,False,False,False,Model registry writes disabled in foundation phase.
metadata_only_news_contract,Metadata-Only News Boundary,True,"Zero full text, raw article body, scraped HTML, or sentiment model outputs in ML inputs.",runtime_ready,True,True,False,False,False,Guarantees copyright and data purity.
no_source_overwrite_contract,Source Data Preservation,True,"Zero file deletion, overwrite, mutation, or destructive cleaning.",runtime_ready,True,True,False,False,False,DataLake records remain immutable.
local_offline_only_contract,Local Offline Execution Boundary,True,"Zero scraping, zero remote API polling, zero cloud deployment.",runtime_ready,True,True,False,False,False,Strictly local execution.
