audit_id,event_type,dataset_type,provider_name,source_id,related_record_id,event_note,destructive_action_allowed,manual_review_required
audit_audit_source_registered_ref_prov_src_fx_fixture_provider_fx_dry_run_fixture_source_local_fixture_uri,audit_source_registered,dataset_fx_quote,advanced_fx_providers_engine,prov_src_fx_fixture_provider_fx_dry_run_fixture_source,ref_prov_src_fx_fixture_provider_fx_dry_run_fixture_source_local_fixture_uri,FX dry-run fixture registered,False,False
audit_audit_provider_registered_prov_rec_advanced_data_providers_abstraction,audit_provider_registered,dataset_provider_metadata,advanced_data_providers_abstraction,prov_src_public_dataset_placeholder_source,prov_rec_advanced_data_providers_abstraction,Multi-provider abstraction registered,False,False
audit_audit_schema_linked_schema_prov_dataset_commodity_spot_v1_0,audit_schema_linked,dataset_commodity_spot,advanced_commodity_providers_engine,prov_src_commodity_fixture_provider_commodity_dry_run_fixture_source,schema_prov_dataset_commodity_spot_v1_0,Commodity spot canonical schema v1.0 linked,False,False
audit_audit_quality_finding_linked_qf_lin_001,audit_quality_finding_linked,dataset_fx_quote,advanced_fx_providers_engine,prov_src_fx_fixture_provider_fx_dry_run_fixture_source,qf_lin_001,Missing quote diagnostic finding registered,False,True
audit_audit_normalization_applied_norm_lin_macro_indicator,audit_normalization_applied,dataset_macro_timeseries,advanced_macro_providers_engine,prov_src_macro_fixture_provider_macro_dry_run_fixture_source,norm_lin_macro_indicator,Macro indicator standardized to US_10Y_YIELD,False,False
audit_audit_normalized_view_created_out_lin_calendar_event,audit_normalized_view_created,dataset_calendar_event,advanced_economic_calendar_engine,prov_src_calendar_fixture_provider_calendar_dry_run_fixture_source,out_lin_calendar_event,Calendar normalized view created non-destructively,False,False
audit_audit_manual_review_required_rev_lin_002,audit_manual_review_required,dataset_commodity_spot,advanced_commodity_providers_engine,prov_src_commodity_fixture_provider_commodity_dry_run_fixture_source,rev_lin_002,Unmapped commodity futures root queued for review,False,True
audit_audit_license_boundary_recorded_lic_prov_007,audit_license_boundary_recorded,dataset_provider_metadata,licensed_vendor_provider_placeholder,prov_src_licensed_provider_placeholder_source,lic_prov_007,Commercial vendor license policy recorded,False,True
audit_audit_copyright_boundary_recorded_news_data_copyright_check,audit_copyright_boundary_recorded,dataset_news_metadata,advanced_news_metadata_engine,prov_src_news_fixture_provider_news_metadata_dry_run_fixture_source,news_data_copyright_check,Zero full-text copyright boundary verified,False,False
audit_audit_metadata_only_boundary_recorded_meta_prov_news,audit_metadata_only_boundary_recorded,dataset_news_metadata,advanced_news_metadata_engine,prov_src_news_fixture_provider_news_metadata_dry_run_fixture_source,meta_prov_news,Metadata-only provenance policy enforced,False,False
audit_audit_phase_115_handoff_created_handoff_phase_115_provider_benchmark,audit_phase_115_handoff_created,dataset_provider_metadata,advanced_data_lineage_engine,prov_src_public_dataset_placeholder_source,handoff_phase_115_provider_benchmark,Benchmark traceability handoff contract prepared,False,False
