forbidden_column,reason,action,non_signal,phase
signal,"Violates non-signal, zero-target, or data boundary policies.",STRICT_EXCLUDE,True,141
buy,"Violates non-signal, zero-target, or data boundary policies.",STRICT_EXCLUDE,True,141
sell,"Violates non-signal, zero-target, or data boundary policies.",STRICT_EXCLUDE,True,141
long,"Violates non-signal, zero-target, or data boundary policies.",STRICT_EXCLUDE,True,141
short,"Violates non-signal, zero-target, or data boundary policies.",STRICT_EXCLUDE,True,141
position,"Violates non-signal, zero-target, or data boundary policies.",STRICT_EXCLUDE,True,141
target,"Violates non-signal, zero-target, or data boundary policies.",STRICT_EXCLUDE,True,141
label,"Violates non-signal, zero-target, or data boundary policies.",STRICT_EXCLUDE,True,141
prediction,"Violates non-signal, zero-target, or data boundary policies.",STRICT_EXCLUDE,True,141
recommendation,"Violates non-signal, zero-target, or data boundary policies.",STRICT_EXCLUDE,True,141
probability,"Violates non-signal, zero-target, or data boundary policies.",STRICT_EXCLUDE,True,141
predict_proba,"Violates non-signal, zero-target, or data boundary policies.",STRICT_EXCLUDE,True,141
confidence,"Violates non-signal, zero-target, or data boundary policies.",STRICT_EXCLUDE,True,141
confidence_score,"Violates non-signal, zero-target, or data boundary policies.",STRICT_EXCLUDE,True,141
calibrated_probability,"Violates non-signal, zero-target, or data boundary policies.",STRICT_EXCLUDE,True,141
uncertainty,"Violates non-signal, zero-target, or data boundary policies.",STRICT_EXCLUDE,True,141
prediction_interval,"Violates non-signal, zero-target, or data boundary policies.",STRICT_EXCLUDE,True,141
confidence_interval,"Violates non-signal, zero-target, or data boundary policies.",STRICT_EXCLUDE,True,141
quantile,"Violates non-signal, zero-target, or data boundary policies.",STRICT_EXCLUDE,True,141
conformal_set,"Violates non-signal, zero-target, or data boundary policies.",STRICT_EXCLUDE,True,141
future_return,"Violates non-signal, zero-target, or data boundary policies.",STRICT_EXCLUDE,True,141
forward_return,"Violates non-signal, zero-target, or data boundary policies.",STRICT_EXCLUDE,True,141
next_return,"Violates non-signal, zero-target, or data boundary policies.",STRICT_EXCLUDE,True,141
full_text,"Violates non-signal, zero-target, or data boundary policies.",STRICT_EXCLUDE,True,141
article_body,"Violates non-signal, zero-target, or data boundary policies.",STRICT_EXCLUDE,True,141
raw_content,"Violates non-signal, zero-target, or data boundary policies.",STRICT_EXCLUDE,True,141
scraped_html,"Violates non-signal, zero-target, or data boundary policies.",STRICT_EXCLUDE,True,141
page_html,"Violates non-signal, zero-target, or data boundary policies.",STRICT_EXCLUDE,True,141
html,"Violates non-signal, zero-target, or data boundary policies.",STRICT_EXCLUDE,True,141
embedding,"Violates non-signal, zero-target, or data boundary policies.",STRICT_EXCLUDE,True,141
vector,"Violates non-signal, zero-target, or data boundary policies.",STRICT_EXCLUDE,True,141
sentiment,"Violates non-signal, zero-target, or data boundary policies.",STRICT_EXCLUDE,True,141
sentiment_score,"Violates non-signal, zero-target, or data boundary policies.",STRICT_EXCLUDE,True,141
