type,rule_id,rule,status
NO_GO,NO_GO_01,live_trading,ENFORCED
NO_GO,NO_GO_02,broker_integration,ENFORCED
NO_GO,NO_GO_03,real_order,ENFORCED
NO_GO,NO_GO_04,investment_advice,ENFORCED
NO_GO,NO_GO_05,signal_generation,ENFORCED
NO_GO,NO_GO_06,directional_certainty,ENFORCED
NO_GO,NO_GO_07,dataset_materialization,ENFORCED
NO_GO,NO_GO_08,feature_snapshot_materialization,ENFORCED
NO_GO,NO_GO_09,strategy_backtest_optimizer,ENFORCED
NO_GO,NO_GO_10,real_model_training,ENFORCED
NO_GO,NO_GO_11,model_fit_predict_inference,ENFORCED
NO_GO,NO_GO_12,learning_execution,ENFORCED
NO_GO,NO_GO_13,target_label_prediction,ENFORCED
NO_GO,NO_GO_14,metric_performance_claim,ENFORCED
NO_GO,NO_GO_15,sentiment_model_output,ENFORCED
NO_GO,NO_GO_16,raw_content_scraped_html,ENFORCED
NO_GO,NO_GO_17,embedding_vector_generation,ENFORCED
NO_GO,NO_GO_18,artifact_persistence,ENFORCED
NO_GO,NO_GO_19,model_registry_write,ENFORCED
NO_GO,NO_GO_20,official_approval_claim,ENFORCED
NO_GO,NO_GO_21,source_overwrite_destructive,ENFORCED
NO_GO,NO_GO_22,auto_imputation_feature_drop,ENFORCED
NO_GO,NO_GO_23,web_scraping_credentials,ENFORCED
NO_GO,NO_GO_24,deployment,ENFORCED
SAFE_GO,SAFE_GO_01,gpu_resource_policies,ACTIVE
SAFE_GO,SAFE_GO_02,device_selection_metadata,ACTIVE
SAFE_GO,SAFE_GO_03,memory_budget_metadata,ACTIVE
SAFE_GO,SAFE_GO_04,cpu_fallback_metadata,ACTIVE
SAFE_GO,SAFE_GO_05,timeout_watchdog_metadata,ACTIVE
SAFE_GO,SAFE_GO_06,noop_training_loop_contracts,ACTIVE
SAFE_GO,SAFE_GO_07,blocked_execution_stubs,ACTIVE
SAFE_GO,SAFE_GO_08,disabled_execution_reports,ACTIVE
SAFE_GO,SAFE_GO_09,resource_audit_placeholders,ACTIVE
SAFE_GO,SAFE_GO_10,phase_140_handoff,ACTIVE
