claim_pattern,category,severity,enforcement,non_signal,status_label
kesin al,trading_or_deployment_claim,CRITICAL,STRICT_PROHIBITION,True,factor_ready
kesin sat,trading_or_deployment_claim,CRITICAL,STRICT_PROHIBITION,True,factor_ready
buy signal,trading_or_deployment_claim,CRITICAL,STRICT_PROHIBITION,True,factor_ready
sell signal,trading_or_deployment_claim,CRITICAL,STRICT_PROHIBITION,True,factor_ready
long aç,trading_or_deployment_claim,CRITICAL,STRICT_PROHIBITION,True,factor_ready
short aç,trading_or_deployment_claim,CRITICAL,STRICT_PROHIBITION,True,factor_ready
position aç,trading_or_deployment_claim,CRITICAL,STRICT_PROHIBITION,True,factor_ready
trade signal,trading_or_deployment_claim,CRITICAL,STRICT_PROHIBITION,True,factor_ready
yatırım tavsiyesi,trading_or_deployment_claim,CRITICAL,STRICT_PROHIBITION,True,factor_ready
model prediction,trading_or_deployment_claim,CRITICAL,STRICT_PROHIBITION,True,factor_ready
target label,trading_or_deployment_claim,CRITICAL,STRICT_PROHIBITION,True,factor_ready
production ready,trading_or_deployment_claim,CRITICAL,STRICT_PROHIBITION,True,factor_ready
broker ready,trading_or_deployment_claim,CRITICAL,STRICT_PROHIBITION,True,factor_ready
official approval,trading_or_deployment_claim,CRITICAL,STRICT_PROHIBITION,True,factor_ready
