score_id,entity_name,entity_type,dataset_type,provider_name,score,status_label,missing_links,manual_review_count,notes
prov_conf_advanced_fx_providers_engine,advanced_fx_providers_engine,provider,dataset_fx_quote,advanced_fx_providers_engine,0.95,provenance_high_confidence,0,0,"Complete local fixture lineage, no credentials required"
prov_conf_advanced_commodity_providers_engine,advanced_commodity_providers_engine,provider,dataset_commodity_spot,advanced_commodity_providers_engine,0.9,provenance_high_confidence,0,1,"Complete local fixture lineage, futures roll review queued"
prov_conf_advanced_macro_providers_engine,advanced_macro_providers_engine,provider,dataset_macro_timeseries,advanced_macro_providers_engine,0.92,provenance_high_confidence,0,0,"Complete local fixture lineage, standard vocabulary"
prov_conf_advanced_economic_calendar_engine,advanced_economic_calendar_engine,provider,dataset_calendar_event,advanced_economic_calendar_engine,0.94,provenance_high_confidence,0,0,"Complete local fixture lineage, release times tracked"
prov_conf_advanced_news_metadata_engine,advanced_news_metadata_engine,provider,dataset_news_metadata,advanced_news_metadata_engine,0.98,provenance_high_confidence,0,0,"Strict metadata-only, zero full-text, copyright compliant"
prov_conf_advanced_data_providers_abstraction,advanced_data_providers_abstraction,provider,dataset_provider_metadata,advanced_data_providers_abstraction,0.95,provenance_high_confidence,0,0,Multi-provider abstraction contracts verified
prov_conf_manual_file_provider_adapter,manual_file_provider_adapter,provider,dataset_provider_metadata,manual_file_provider_adapter,0.7,provenance_medium_confidence,1,1,"User-provided dropzone file, manual review required"
prov_conf_local_cache_provider_adapter,local_cache_provider_adapter,provider,dataset_provider_metadata,local_cache_provider_adapter,0.88,provenance_high_confidence,0,0,Local offline snapshot cache with valid manifest
prov_conf_official_api_provider_placeholder,official_api_provider_placeholder,provider,dataset_provider_metadata,official_api_provider_placeholder,0.65,provenance_medium_confidence,1,1,"Contract placeholder, zero live keys"
prov_conf_licensed_vendor_provider_placeholder,licensed_vendor_provider_placeholder,provider,dataset_provider_metadata,licensed_vendor_provider_placeholder,0.55,provenance_low_confidence,2,1,"Commercial placeholder, vendor license verification required"
