contract_name,candidate_family,baseline_contract_ref,dataset_contract_ref,feature_snapshot_contract_ref,experiment_registry_ref,gpu_resource_policy_ref,required_no_lookahead_guard_ref,required_metadata_only_news_guard_ref,required_source_preservation_guard_ref,required_validation_dependency_ref,required_quality_dependency_ref,real_training_allowed,model_fit_allowed,model_predict_allowed,inference_allowed,ensemble_execution_allowed,calibration_allowed,target_label_generation_allowed,artifact_persistence_allowed,model_registry_write_allowed,non_signal_required,manual_review_required,status
logistic_regression_candidate_contract_contract,logistic_regression_candidate_contract,baseline_logistic_regression_contract,dataset_contract_v137,feature_snapshot_contract_v137,experiment_registry_v137,gpu_training_resource_policy_v139,ensemble_no_lookahead_guard,ensemble_metadata_only_news_guard,ensemble_source_preservation_guard,ensemble_validation_dependency,ensemble_quality_dependency,False,False,False,False,False,False,False,False,False,True,True,ensemble_contract_placeholder_only
ridge_regression_candidate_contract_contract,ridge_regression_candidate_contract,baseline_ridge_regression_contract,dataset_contract_v137,feature_snapshot_contract_v137,experiment_registry_v137,gpu_training_resource_policy_v139,ensemble_no_lookahead_guard,ensemble_metadata_only_news_guard,ensemble_source_preservation_guard,ensemble_validation_dependency,ensemble_quality_dependency,False,False,False,False,False,False,False,False,False,True,True,ensemble_contract_placeholder_only
random_forest_candidate_contract_contract,random_forest_candidate_contract,baseline_random_forest_contract,dataset_contract_v137,feature_snapshot_contract_v137,experiment_registry_v137,gpu_training_resource_policy_v139,ensemble_no_lookahead_guard,ensemble_metadata_only_news_guard,ensemble_source_preservation_guard,ensemble_validation_dependency,ensemble_quality_dependency,False,False,False,False,False,False,False,False,False,True,True,ensemble_contract_placeholder_only
gradient_boosting_candidate_contract_contract,gradient_boosting_candidate_contract,baseline_gradient_boosting_contract,dataset_contract_v137,feature_snapshot_contract_v137,experiment_registry_v137,gpu_training_resource_policy_v139,ensemble_no_lookahead_guard,ensemble_metadata_only_news_guard,ensemble_source_preservation_guard,ensemble_validation_dependency,ensemble_quality_dependency,False,False,False,False,False,False,False,False,False,True,True,ensemble_contract_placeholder_only
xgboost_candidate_contract_contract,xgboost_candidate_contract,baseline_xgboost_contract,dataset_contract_v137,feature_snapshot_contract_v137,experiment_registry_v137,gpu_training_resource_policy_v139,ensemble_no_lookahead_guard,ensemble_metadata_only_news_guard,ensemble_source_preservation_guard,ensemble_validation_dependency,ensemble_quality_dependency,False,False,False,False,False,False,False,False,False,True,True,ensemble_contract_placeholder_only
lightgbm_candidate_contract_contract,lightgbm_candidate_contract,baseline_lightgbm_contract,dataset_contract_v137,feature_snapshot_contract_v137,experiment_registry_v137,gpu_training_resource_policy_v139,ensemble_no_lookahead_guard,ensemble_metadata_only_news_guard,ensemble_source_preservation_guard,ensemble_validation_dependency,ensemble_quality_dependency,False,False,False,False,False,False,False,False,False,True,True,ensemble_contract_placeholder_only
catboost_candidate_contract_contract,catboost_candidate_contract,baseline_catboost_contract,dataset_contract_v137,feature_snapshot_contract_v137,experiment_registry_v137,gpu_training_resource_policy_v139,ensemble_no_lookahead_guard,ensemble_metadata_only_news_guard,ensemble_source_preservation_guard,ensemble_validation_dependency,ensemble_quality_dependency,False,False,False,False,False,False,False,False,False,True,True,ensemble_contract_placeholder_only
shallow_mlp_candidate_contract_contract,shallow_mlp_candidate_contract,baseline_shallow_mlp_contract,dataset_contract_v137,feature_snapshot_contract_v137,experiment_registry_v137,gpu_training_resource_policy_v139,ensemble_no_lookahead_guard,ensemble_metadata_only_news_guard,ensemble_source_preservation_guard,ensemble_validation_dependency,ensemble_quality_dependency,False,False,False,False,False,False,False,False,False,True,True,ensemble_contract_placeholder_only
sequence_model_candidate_contract_contract,sequence_model_candidate_contract,baseline_sequence_model_contract,dataset_contract_v137,feature_snapshot_contract_v137,experiment_registry_v137,gpu_training_resource_policy_v139,ensemble_no_lookahead_guard,ensemble_metadata_only_news_guard,ensemble_source_preservation_guard,ensemble_validation_dependency,ensemble_quality_dependency,False,False,False,False,False,False,False,False,False,True,True,ensemble_contract_placeholder_only
unsupervised_candidate_placeholder_contract_contract,unsupervised_candidate_placeholder_contract,baseline_unsupervised_contract,dataset_contract_v137,feature_snapshot_contract_v137,experiment_registry_v137,gpu_training_resource_policy_v139,ensemble_no_lookahead_guard,ensemble_metadata_only_news_guard,ensemble_source_preservation_guard,ensemble_validation_dependency,ensemble_quality_dependency,False,False,False,False,False,False,False,False,False,True,True,ensemble_contract_placeholder_only
