provenance_id,dataset_name,dataset_type,provider_name,source_reference_id,schema_id,retrieval_mode,original_ref,normalized_ref,source_preserved,manual_review_required
ds_prov_advanced_fx_providers_engine_fx_quote_contract_dataset,fx_quote_contract_dataset,dataset_fx_quote,advanced_fx_providers_engine,ref_prov_src_fx_fixture_provider_fx_dry_run_fixture_source_local_fixture_uri,schema_prov_dataset_fx_quote_v1_0,dry_run,data/raw/fx/quotes_sample.csv,data/lake/advanced_data_normalization/normalized_views/fx_quotes_normalized.parquet,True,False
ds_prov_advanced_fx_providers_engine_fx_ohlcv_contract_dataset,fx_ohlcv_contract_dataset,dataset_fx_ohlcv,advanced_fx_providers_engine,ref_prov_src_fx_fixture_provider_fx_dry_run_fixture_source_local_fixture_uri,schema_prov_dataset_fx_ohlcv_v1_0,dry_run,data/raw/fx/ohlcv_sample.csv,data/lake/advanced_data_normalization/normalized_views/fx_ohlcv_normalized.parquet,True,False
ds_prov_advanced_commodity_providers_engine_commodity_spot_contract_dataset,commodity_spot_contract_dataset,dataset_commodity_spot,advanced_commodity_providers_engine,ref_prov_src_commodity_fixture_provider_commodity_dry_run_fixture_source_local_fixture_uri,schema_prov_dataset_commodity_spot_v1_0,dry_run,data/raw/commodity/spot_sample.csv,data/lake/advanced_data_normalization/normalized_views/commodity_spot_normalized.parquet,True,False
ds_prov_advanced_commodity_providers_engine_commodity_ohlcv_contract_dataset,commodity_ohlcv_contract_dataset,dataset_commodity_ohlcv,advanced_commodity_providers_engine,ref_prov_src_commodity_fixture_provider_commodity_dry_run_fixture_source_local_fixture_uri,schema_prov_dataset_commodity_ohlcv_v1_0,dry_run,data/raw/commodity/ohlcv_sample.csv,data/lake/advanced_data_normalization/normalized_views/commodity_ohlcv_normalized.parquet,True,False
ds_prov_advanced_macro_providers_engine_macro_timeseries_contract_dataset,macro_timeseries_contract_dataset,dataset_macro_timeseries,advanced_macro_providers_engine,ref_prov_src_macro_fixture_provider_macro_dry_run_fixture_source_local_fixture_uri,schema_prov_dataset_macro_timeseries_v1_0,dry_run,data/raw/macro/macro_sample.csv,data/lake/advanced_data_normalization/normalized_views/macro_timeseries_normalized.parquet,True,False
ds_prov_advanced_economic_calendar_engine_calendar_event_contract_dataset,calendar_event_contract_dataset,dataset_calendar_event,advanced_economic_calendar_engine,ref_prov_src_calendar_fixture_provider_calendar_dry_run_fixture_source_local_fixture_uri,schema_prov_dataset_calendar_event_v1_0,dry_run,data/raw/calendar/events_sample.csv,data/lake/advanced_data_normalization/normalized_views/calendar_events_normalized.parquet,True,False
ds_prov_advanced_economic_calendar_engine_release_event_contract_dataset,release_event_contract_dataset,dataset_release_event,advanced_economic_calendar_engine,ref_prov_src_calendar_fixture_provider_calendar_dry_run_fixture_source_local_fixture_uri,schema_prov_dataset_release_event_v1_0,dry_run,data/raw/calendar/releases_sample.csv,data/lake/advanced_data_normalization/normalized_views/release_events_normalized.parquet,True,False
ds_prov_advanced_news_metadata_engine_news_metadata_contract_dataset,news_metadata_contract_dataset,dataset_news_metadata,advanced_news_metadata_engine,ref_prov_src_news_fixture_provider_news_metadata_dry_run_fixture_source_metadata_only_uri,schema_prov_dataset_news_metadata_v1_0,dry_run,data/raw/news/metadata_sample.csv,data/lake/advanced_data_normalization/normalized_views/news_metadata_normalized.parquet,True,False
ds_prov_advanced_data_providers_abstraction_provider_metadata_contract_dataset,provider_metadata_contract_dataset,dataset_provider_metadata,advanced_data_providers_abstraction,ref_prov_src_public_dataset_placeholder_public_dataset_placeholder_source_doi_or_urn,schema_prov_dataset_provider_metadata_v1_0,dry_run,data/raw/provider/metadata_sample.csv,data/lake/advanced_data_normalization/normalized_views/provider_metadata_normalized.parquet,True,False
ds_prov_advanced_data_normalization_engine_normalized_view_manifest_dataset,normalized_view_manifest_dataset,dataset_unknown,advanced_data_normalization_engine,ref_prov_src_local_cache_provider_local_cache_placeholder_source_cache_manifest_key,schema_prov_dataset_unknown_v1_0,cache_read,data/lake/advanced_data_normalization/output_manifest/output_manifest.csv,data/lake/advanced_data_lineage/normalized_output_lineage/normalized_views_lineage.csv,True,False
