item_id,topic,description,satisfied,current_phase,target_final_phase,next_phase,status,non_signal,non_production,local_only
HND-153-01,portfolio_construction_prerequisites,Contracts for multi-asset commodity and FX portfolio construction foundation ready.,True,152,160,153,acceptance_ready,True,True,True
HND-153-02,position_sizing_prerequisites,"Volatility-parity, fixed-fractional, and risk-budget position sizing interface contracts ready.",True,152,160,153,acceptance_ready,True,True,True
HND-153-03,risk_budgeting_prerequisites,Risk contribution and factor exposure budgeting specifications ready.,True,152,160,153,acceptance_ready,True,True,True
HND-153-04,backtest_acceptance_prerequisites,Phase 152 Backtest Acceptance Report verified with 100% contract compliance.,True,152,160,153,acceptance_ready,True,True,True
HND-153-05,benchmark_evaluation_prerequisites,Phase 151 benchmark comparison and strategy evaluation contract layer verified.,True,152,160,153,acceptance_ready,True,True,True
HND-153-06,backtest_governance_prerequisites,Phase 150 backtest governance and bias control invariants enforced.,True,152,160,153,acceptance_ready,True,True,True
HND-153-07,monte_carlo_robustness_prerequisites,Phase 149 Monte Carlo and parameter stability contracts verified.,True,152,160,153,acceptance_ready,True,True,True
HND-153-08,stress_testing_prerequisites,Phase 148 stress testing and scenario simulation contracts verified.,True,152,160,153,acceptance_ready,True,True,True
HND-153-09,walk_forward_oos_prerequisites,Phase 147 walk-forward validation and out-of-sample partitioning contracts verified.,True,152,160,153,acceptance_ready,True,True,True
HND-153-10,realistic_backtest_prerequisites,"Phase 146 realistic backtest, transaction cost, and slippage contracts verified.",True,152,160,153,acceptance_ready,True,True,True
HND-153-11,model_governance_prerequisites,Phase 144 model governance and Phase 145 ML acceptance blocks verified.,True,152,160,153,acceptance_ready,True,True,True
HND-153-12,manual_review_blockers_cleared,Manual review queue established with zero critical blockers.,True,152,160,153,acceptance_ready,True,True,True
HND-153-13,non_live_research_boundary_enforced,Phase 153 builds portfolio/sizing contracts under local/offline research rules; live trading blocked.,True,152,160,153,acceptance_ready,True,True,True
