domain_id,domain_label,domain_name,description,required_outputs,warnings
fg_dom_feature_grid_profile_domain,feature_grid_profile_domain,Feature Grid Profile Domain,Multi-window feature grid profillerinin ve parametre kısıtlarının yönetildiği alan.,"['profile_registry', 'profile_summary']",[]
fg_dom_window_grid_contract_domain,window_grid_contract_domain,Window Grid Contract Domain,"Kısa, orta, uzun ve dengeli window grid sözleşmelerinin tanımlandığı alan.","['window_contracts', 'contract_summary']",[]
fg_dom_parameter_grid_domain,parameter_grid_domain,Indicator Parameter Grid Domain,"SMA, EMA, RSI, ATR, Bollinger vb. indikatörler için parametre matrisleri.","['parameter_grid_registry', 'grid_expansion_summary']",[]
fg_dom_naming_domain,naming_domain,Feature Grid Naming Domain,Deterministik ve non-signal feature isimlendirme kuralları.,"['naming_registry', 'naming_rules']",[]
fg_dom_output_schema_domain,output_schema_domain,Output Schema Domain,"Grid çıktılarının veri tipleri, nullability ve yasak alias denetimi.","['output_schema_registry', 'schema_validation']",[]
fg_dom_warmup_nan_policy_domain,warmup_nan_policy_domain,Warmup NaN Policy Domain,Rolling pencereler nedeniyle oluşan ilk satır NaN değerlerinin muhafaza politikası.,"['warmup_policy_registry', 'warmup_estimates']",[]
fg_dom_no_lookahead_guard_domain,no_lookahead_guard_domain,No-Lookahead Guard Domain,"shift(-1), forward return ve target/label üretimini engelleyen denetim katmanı.","['no_lookahead_registry', 'guard_findings']",[]
fg_dom_duplicate_detection_domain,duplicate_detection_domain,Duplicate Detection Domain,Aynı feature'ın mükerrer hesaplanmasını tespit eden registry.,"['duplicate_registry', 'duplicate_findings']",[]
fg_dom_moving_average_grid_domain,moving_average_grid_domain,Moving Average Window Grid Domain,"SMA, EMA, WMA, DEMA/TEMA çoklu pencere varyantları.","['moving_average_grid', 'ma_summary']",[]
fg_dom_momentum_grid_domain,momentum_grid_domain,Momentum Window Grid Domain,"RSI, ROC, Momentum, CMO çoklu pencere varyantları.","['momentum_grid', 'momentum_summary']",[]
fg_dom_volatility_grid_domain,volatility_grid_domain,Volatility Window Grid Domain,"ATR, rolling std, realized volatility, Parkinson çoklu pencere varyantları.","['volatility_grid', 'volatility_summary']",[]
fg_dom_range_channel_grid_domain,range_channel_grid_domain,Range & Channel Window Grid Domain,"Bollinger Bands, Donchian Channel, rolling range parametre gridleri.","['range_channel_grid', 'channel_summary']",[]
fg_dom_mean_reversion_grid_domain,mean_reversion_grid_domain,Mean Reversion Window Grid Domain,"Rolling z-score, distance to MA, percentile rank gridleri.","['mean_reversion_grid', 'mr_summary']",[]
fg_dom_return_grid_domain,return_grid_domain,Return Window Grid Domain,"Simple return, log return, cumulative return çoklu window varyantları.","['return_grid', 'return_summary']",[]
fg_dom_quote_grid_placeholder_domain,quote_grid_placeholder_domain,Quote Microstructure Grid Placeholder Domain,"Spread, staleness, quote mid return placeholder gridleri.",['quote_placeholder_grid'],[]
fg_dom_macro_grid_placeholder_domain,macro_grid_placeholder_domain,Macro Indicator Grid Placeholder Domain,"Macro value change, rolling change placeholder gridleri.",['macro_placeholder_grid'],[]
fg_dom_calendar_grid_placeholder_domain,calendar_grid_placeholder_domain,Economic Calendar Grid Placeholder Domain,"Pre/post event window flags, rolling event count placeholder gridleri.",['calendar_placeholder_grid'],[]
fg_dom_news_grid_placeholder_domain,news_grid_placeholder_domain,News Metadata Grid Placeholder Domain,"News topic count, asset tag count placeholder gridleri.",['news_placeholder_grid'],[]
fg_dom_computation_interface_domain,computation_interface_domain,Computation Interface Domain,In-place DataFrame mutasyonunu engelleyen safe computation arayüzü.,['computation_interfaces'],[]
fg_dom_computation_rehearsal_domain,computation_rehearsal_domain,Computation Rehearsal Domain,Sentetik verilerle non-signal prova ve doğrulama motoru.,['rehearsal_report'],[]
fg_dom_metadata_domain,metadata_domain,Feature Grid Metadata Domain,"Tüm grid feature'larının parametre, warmup ve handoff metadata kataloğu.",['metadata_registry'],[]
fg_dom_dependency_domain,dependency_domain,Feature Grid Dependency Domain,Grid girdilerinin OHLCV alan bağımlılıkları haritası.,['dependency_registry'],[]
fg_dom_validation_domain,validation_domain,Validation Rule Domain,"Sayısal geçerlilik, forbidden column ve row count denetimleri.","['validation_rules', 'validation_findings']",[]
fg_dom_quality_handoff_domain,quality_handoff_domain,Quality Handoff Domain,Phase 119 ve sonraki fazlar için hazır bulunuşluk ve kalite handoff'u.,['quality_handoff_report'],[]
fg_dom_feature_grid_health_domain,feature_grid_health_domain,Feature Grid Health Domain,"Modül importları, bağımlılıklar ve test sağlık durumu.",['health_check_report'],[]
fg_dom_feature_grid_safety_domain,feature_grid_safety_domain,Safety Boundary Domain,No-go ve Safe-go koşullarının kesin sınır matrisi.,['safety_boundary_report'],[]
fg_dom_phase_119_handoff_domain,phase_119_handoff_domain,Phase 119 Cross-Asset Alignment Handoff Domain,Cross-asset feature alignment aşamasına aktarılacak sözleşmeler.,['phase_119_handoff_report'],[]
