compliance_id,compliance_type,subject_module,verified,rule_description,findings,non_signal,source_preserved,contains_target_or_prediction,contains_trading_recommendation,contains_full_article_text
comp_news_metadata_advanced_feature_engine,news_metadata_only,advanced_feature_engine,True,"Haber verisinde metin gövdesi, scraping veya gömme (embedding) kullanılmaz.",NOT_APPLICABLE_PASS,True,True,False,False,False
comp_news_metadata_advanced_technical_indicators,news_metadata_only,advanced_technical_indicators,True,"Haber verisinde metin gövdesi, scraping veya gömme (embedding) kullanılmaz.",NOT_APPLICABLE_PASS,True,True,False,False,False
comp_news_metadata_advanced_feature_grid,news_metadata_only,advanced_feature_grid,True,"Haber verisinde metin gövdesi, scraping veya gömme (embedding) kullanılmaz.",NOT_APPLICABLE_PASS,True,True,False,False,False
comp_news_metadata_advanced_cross_asset_alignment,news_metadata_only,advanced_cross_asset_alignment,True,"Haber verisinde metin gövdesi, scraping veya gömme (embedding) kullanılmaz.",NOT_APPLICABLE_PASS,True,True,False,False,False
comp_news_metadata_advanced_feature_fusion,news_metadata_only,advanced_feature_fusion,True,"Haber verisinde metin gövdesi, scraping veya gömme (embedding) kullanılmaz.",COMPLIANT_METADATA_ONLY,True,True,False,False,False
comp_news_metadata_advanced_feature_validation,news_metadata_only,advanced_feature_validation,True,"Haber verisinde metin gövdesi, scraping veya gömme (embedding) kullanılmaz.",NOT_APPLICABLE_PASS,True,True,False,False,False
comp_news_metadata_advanced_factor_metadata,news_metadata_only,advanced_factor_metadata,True,"Haber verisinde metin gövdesi, scraping veya gömme (embedding) kullanılmaz.",COMPLIANT_METADATA_ONLY,True,True,False,False,False
comp_news_metadata_advanced_feature_quality_drift,news_metadata_only,advanced_feature_quality_drift,True,"Haber verisinde metin gövdesi, scraping veya gömme (embedding) kullanılmaz.",NOT_APPLICABLE_PASS,True,True,False,False,False
comp_news_metadata_advanced_feature_store_integration,news_metadata_only,advanced_feature_store_integration,True,"Haber verisinde metin gövdesi, scraping veya gömme (embedding) kullanılmaz.",COMPLIANT_METADATA_ONLY,True,True,False,False,False
comp_news_metadata_advanced_feature_factor_acceptance,news_metadata_only,advanced_feature_factor_acceptance,True,"Haber verisinde metin gövdesi, scraping veya gömme (embedding) kullanılmaz.",NOT_APPLICABLE_PASS,True,True,False,False,False
