condition_id,type,rule_name,description,enforced,current_phase,principle,permitted
NOGO-01,NO-GO,live_trading,Live trading and order routing strictly prohibited,True,157,,
NOGO-02,NO-GO,broker_execution,Broker API integration and transmission strictly prohibited,True,157,,
NOGO-03,NO-GO,investment_advice,Investment advice and market opinions strictly prohibited,True,157,,
NOGO-04,NO-GO,signal_generation,Directional signal generation strictly prohibited,True,157,,
NOGO-05,NO-GO,portfolio_construction,Real portfolio construction and sizing strictly prohibited,True,157,,
NOGO-06,NO-GO,position_sizing,Real position sizing execution strictly prohibited,True,157,,
NOGO-07,NO-GO,portfolio_optimization,Real mathematical optimization and solver execution strictly prohibited,True,157,,
NOGO-08,NO-GO,capital_allocation,Capital allocation generation strictly prohibited,True,157,,
NOGO-09,NO-GO,weight_generation,Live portfolio weight generation strictly prohibited,True,157,,
NOGO-10,NO-GO,allocation_generation,Asset allocation generation strictly prohibited,True,157,,
NOGO-11,NO-GO,rebalance_generation,Rebalance trade generation strictly prohibited,True,157,,
NOGO-12,NO-GO,order_generation,Order generation strictly prohibited,True,157,,
NOGO-13,NO-GO,risk_reporting_execution,Real risk reporting execution strictly prohibited,True,157,,
NOGO-14,NO-GO,exposure_attribution_execution,Real exposure attribution calculation strictly prohibited,True,157,,
NOGO-15,NO-GO,limit_monitoring_execution,Real limit monitoring execution strictly prohibited,True,157,,
NOGO-16,NO-GO,scenario_execution,Real scenario shock execution strictly prohibited,True,157,,
NOGO-17,NO-GO,drawdown_calculation,Real drawdown calculation strictly prohibited,True,157,,
NOGO-18,NO-GO,drawdown_control_execution,Real drawdown control execution strictly prohibited,True,157,,
NOGO-19,NO-GO,portfolio_adjustment,Automated portfolio adjustment strictly prohibited,True,157,,
NOGO-20,NO-GO,hedge_derisk,Automated hedging or de-risking actions strictly prohibited,True,157,,
NOGO-21,NO-GO,alert_generation,Live alert broadcasting strictly prohibited,True,157,,
NOGO-22,NO-GO,dashboard_generation,Live dashboard publishing strictly prohibited,True,157,,
NOGO-23,NO-GO,metric_calculation,"Real Sharpe, VaR, ES metric calculation strictly prohibited",True,157,,
NOGO-24,NO-GO,optimizer_execution,Solver optimizer execution strictly prohibited,True,157,,
NOGO-25,NO-GO,model_training_prediction,"Model training, fitting, and prediction strictly prohibited",True,157,,
NOGO-26,NO-GO,target_label_generation,Target/label generation strictly prohibited,True,157,,
NOGO-27,NO-GO,model_registry_write,Writing model artifacts to registry strictly prohibited,True,157,,
NOGO-28,NO-GO,deployment,Production deployment strictly prohibited,True,157,,
NOGO-29,NO-GO,scraping_credential_source_overwrite,"Web scraping, credential exposure, and source overwrite strictly prohibited",True,157,,
SAFEGO-01,SAFE-GO,,Generate local/offline Portfolio Acceptance Report,,157,local_offline_acceptance_report,True
SAFEGO-02,SAFE-GO,,Verify Phase 153-156 component contract completeness,,157,component_completeness_checks,True
SAFEGO-03,SAFE-GO,,Compute non-production contract readiness score,,157,non_production_readiness_score,True
SAFEGO-04,SAFE-GO,,Maintain human-in-the-loop manual review queue,,157,manual_review_queue,True
SAFEGO-05,SAFE-GO,,"Maintain blocker, gap, and warning registries",,157,blocker_gap_warning_registry,True
SAFEGO-06,SAFE-GO,,Compile validation evidence summary,,157,validation_evidence_summary,True
SAFEGO-07,SAFE-GO,,Compile safety boundary summary,,157,safety_boundary_summary,True
SAFEGO-08,SAFE-GO,,Prepare Phase 158 full-system integration contract handoff,,157,phase_158_handoff,True
