candidate_name,context_name,regime_family,underlying_features,underlying_factors,context_type,description,current_phase,target_final_phase,next_phase,is_target_or_label,is_prediction,is_trade_signal,candidate_contexts_as_targets,is_research_only,non_signal,source_preserved,status
volatility_expansion_context,volatility_expansion_context,volatility,"['bollinger_expansion_ratio', 'atr_slope']",['volatility_expansion_factor'],volatility_dynamics,Indicates accelerating dispersion of price action across observation windows.,127,160,128,False,False,False,False,True,True,True,matrix_ready
trend_strong_bull_context,trend_strong_bull_context,trend,"['sma_fast_slow_ratio', 'macd_histogram_norm']",['trend_persistence_factor'],trend_state,Indicates persistent directional slope without long/short trade recommendation.,127,160,128,False,False,False,False,True,True,True,matrix_ready
range_tight_compression_context,range_tight_compression_context,range,"['channel_position_w50', 'mean_reversion_zscore']",['channel_distance_zscore_factor'],range_state,Indicates bounded price oscillation between support/resistance envelopes.,127,160,128,False,False,False,False,True,True,True,matrix_ready
liquidity_stress_context,liquidity_stress_context,liquidity,"['spread_bid_ask_proxy', 'turnover_dispersion']",['market_liquidity_factor'],liquidity_state,Indicates constrained liquidity environment without execution recommendation.,127,160,128,False,False,False,False,True,True,True,matrix_ready
volatility_low_context_candidate,volatility_low_context_candidate,volatility,"['atr_normalized_volatility', 'historical_variance']",['volatility_compression_factor'],volatility_level,Indicates subdued realized volatility context without directional bias.,127,160,128,False,False,False,False,True,True,True,matrix_ready
macro_event_context_candidate,macro_event_context_candidate,macro_event,"['event_release_lag', 'event_surprise_zscore']",['scheduled_event_window_factor'],event_backdrop,Indicates proximity to high-salience macroeconomic data announcements.,127,160,128,False,False,False,False,True,True,True,matrix_ready
news_attention_context_candidate,news_attention_context_candidate,news_metadata,"['news_metadata_attention_volume', 'topic_intensity_score']",['news_volume_frequency_factor'],attention_backdrop,"Indicates elevated news frequency/tag volume (zero full text, zero sentiment models).",127,160,128,False,False,False,False,True,True,True,matrix_ready
cross_asset_context_candidate,cross_asset_context_candidate,cross_asset,"['fx_commodity_relative_spread', 'intermarket_correlation']",['intermarket_relative_strength_factor'],coupling_state,Indicates divergent or coupled movements across asset classes.,127,160,128,False,False,False,False,True,True,True,matrix_ready
transition_context_candidate,transition_context_candidate,transition,"['trend_break_ratio', 'volatility_inflection']",['transition_persistence_factor'],transition_phase,Indicates structural shift between regimes without predicting destination.,127,160,128,False,False,False,False,True,True,True,matrix_ready
uncertain_context_candidate,uncertain_context_candidate,uncertain,"['conflicting_indicator_score', 'dispersion_high']",['data_reliability_factor'],low_confidence,Indicates conflicting indicators where no single regime profile dominates.,127,160,128,False,False,False,False,True,True,True,matrix_ready
