item_id,topic,requirement,status,target_phase,profile_name,current_phase,target_final_phase,next_phase,non_signal,source_preserved,official_approval,production_ready,broker_ready
handoff_01_regime_val_prereq,regime validation acceptance prerequisites,All Phase 126-132 regime and context datasets must be verifiable without execution errors.,READY,133,balanced_local_macro_event_news_regime_context,132,160,133,True,True,False,False,False
handoff_02_no_lookahead_prereq,no-lookahead acceptance prerequisites,Zero negative shift operations and zero forward-looking timestamp alignments allowed.,READY,133,balanced_local_macro_event_news_regime_context,132,160,133,True,True,False,False,False
handoff_03_macro_release_ts,macro release timestamp validation prerequisites,Historical release timestamps must be proven to reflect actual public availability date.,READY,133,balanced_local_macro_event_news_regime_context,132,160,133,True,True,False,False,False
handoff_04_event_window_val,event window validation prerequisites,Pre-event and post-event window boundaries must not consume future price discovery bars.,READY,133,balanced_local_macro_event_news_regime_context,132,160,133,True,True,False,False,False
handoff_05_release_alignment_val,scheduled/actual release alignment validation prerequisites,Actual release timestamp latency verification must confirm zero premature disclosure leaks.,READY,133,balanced_local_macro_event_news_regime_context,132,160,133,True,True,False,False,False
handoff_06_metadata_only_news,metadata-only news validation prerequisites,"News feeds must strictly consist of tags, topics, timestamps, and source IDs.",READY,133,balanced_local_macro_event_news_regime_context,132,160,133,True,True,False,False,False
handoff_07_forbidden_news_content,forbidden news content validation prerequisites,"Complete absence of full article body, scraped HTML, sentiment scores, and embeddings.",READY,133,balanced_local_macro_event_news_regime_context,132,160,133,True,True,False,False,False
handoff_08_cross_asset_macro_sens,cross-asset macro sensitivity validation prerequisites,FX and Commodity macro sensitivity matrices must adhere to common asset key schemas.,READY,133,balanced_local_macro_event_news_regime_context,132,160,133,True,True,False,False,False
handoff_09_transition_context_val,transition context validation prerequisites,State transition alignment around macro events must not trigger speculative jumps.,READY,133,balanced_local_macro_event_news_regime_context,132,160,133,True,True,False,False,False
handoff_10_quality_dep_reqs,quality dependency requirements,"Feature quality, drift, and stationarity metrics from Phase 123 must meet thresholds.",READY,133,balanced_local_macro_event_news_regime_context,132,160,133,True,True,False,False,False
handoff_11_source_preservation,source preservation requirements,"Raw datasets, lake records, and feature stores must be 100% immutable and un-dropped.",READY,133,balanced_local_macro_event_news_regime_context,132,160,133,True,True,False,False,False
handoff_12_manual_review_blockers,manual review blockers before Phase 133,Zero unresolved manual review blockers permissible for Phase 133 acceptance sign-off.,READY,133,balanced_local_macro_event_news_regime_context,132,160,133,True,True,False,False,False
handoff_13_clear_boundary_non_signal,"clear boundary: Phase 133 validates regime context, not trade signals",Phase 133 is strictly an acceptance and validation gate; zero trading signals generated.,READY,133,balanced_local_macro_event_news_regime_context,132,160,133,True,True,False,False,False
