item_id,topic,description,satisfied,current_phase,target_final_phase,next_phase,status,non_signal,non_production,local_only
HND-158-01,full_system_integration_prerequisites,Full-system integration architecture contracts ready to connect all prior blocks.,True,157,160,158,portfolio_acceptance_ready,True,True,True
HND-158-02,advanced_acceptance_rehearsal_prerequisites,Dry-run end-to-end acceptance rehearsal design and harness specifications ready.,True,157,160,158,portfolio_acceptance_ready,True,True,True
HND-158-03,data_pipeline_prerequisites,"Data provider abstraction, quality engine, and normalization blocks verified.",True,157,160,158,portfolio_acceptance_ready,True,True,True
HND-158-04,feature_factor_prerequisites,"Multi-window feature grid, feature validation, and factor metadata verified.",True,157,160,158,portfolio_acceptance_ready,True,True,True
HND-158-05,regime_prerequisites,"Regime foundation, transition matrix, and FeatureStore regime tables verified.",True,157,160,158,portfolio_acceptance_ready,True,True,True
HND-158-06,ml_governance_prerequisites,"Baseline ML, ensemble registry, uncertainty calibration, and ML acceptance verified.",True,157,160,158,portfolio_acceptance_ready,True,True,True
HND-158-07,backtest_acceptance_prerequisites,"Realistic backtest, walk-forward, stress, Monte Carlo, and governance verified in Phase 152.",True,157,160,158,portfolio_acceptance_ready,True,True,True
HND-158-08,portfolio_acceptance_prerequisites,Phase 153-157 Portfolio Acceptance Report verified with 100% contract compliance.,True,157,160,158,portfolio_acceptance_ready,True,True,True
HND-158-09,risk_reporting_prerequisites,"Phase 155 risk reporting, exposure attribution, and limit monitoring contracts verified.",True,157,160,158,portfolio_acceptance_ready,True,True,True
HND-158-10,scenario_drawdown_control_prerequisites,"Phase 156 scenario testing, resilience, and drawdown control placeholders verified.",True,157,160,158,portfolio_acceptance_ready,True,True,True
HND-158-11,safety_boundary_prerequisites,"Strict non-production, dry-run, no-live-trading boundary enforced into Phase 158.",True,157,160,158,portfolio_acceptance_ready,True,True,True
HND-158-12,documentation_runbook_prerequisites,"Architecture, phase logs, roadmap, operator manual, and safety guides updated.",True,157,160,158,portfolio_acceptance_ready,True,True,True
HND-158-13,manual_review_blockers_cleared,Manual review gates established with zero critical blockers remaining.,True,157,160,158,portfolio_acceptance_ready,True,True,True
HND-158-14,clear_non_live_boundary,"Phase 158 builds full-system integration and rehearsal contracts; live trading, broker execution, investment advice and production deployment remain blocked.",True,157,160,158,portfolio_acceptance_ready,True,True,True
