contract_id,grid_name,indicator_family,indicator_name,allowed_windows,default_windows,min_window,max_window,warmup_policy,no_lookahead_policy,non_signal_usage_note,manual_review_required
wgc_sma_window_grid_sma,sma_window_grid,moving_average,sma,"[2, 3, 5, 8, 10, 14, 20, 21, 30, 50, 100, 150, 200, 250]","[5, 10, 20, 50, 100, 200]",2,500,preserve_warmup_nan,strictly_backward_looking,Research feature grid only. Not a trading signal or target label.,False
wgc_ema_window_grid_ema,ema_window_grid,moving_average,ema,"[2, 3, 5, 8, 10, 14, 20, 21, 30, 50, 100, 150, 200, 250]","[5, 10, 20, 50, 100, 200]",2,500,preserve_warmup_nan,strictly_backward_looking,Research feature grid only. Not a trading signal or target label.,False
wgc_wma_window_grid_wma,wma_window_grid,moving_average,wma,"[3, 5, 10, 14, 20, 30, 50]","[5, 10, 20, 50]",3,100,preserve_warmup_nan,strictly_backward_looking,Research feature grid only. Not a trading signal or target label.,False
wgc_rsi_window_grid_rsi,rsi_window_grid,momentum,rsi,"[5, 7, 9, 14, 21, 28, 30]","[7, 14, 21, 28]",2,100,preserve_warmup_nan,strictly_backward_looking,Research feature grid only. Not a trading signal or target label.,False
wgc_roc_window_grid_roc,roc_window_grid,momentum,roc,"[1, 3, 5, 10, 14, 20, 30]","[5, 10, 20, 30]",1,100,preserve_warmup_nan,strictly_backward_looking,Research feature grid only. Not a trading signal or target label.,False
wgc_atr_window_grid_atr,atr_window_grid,volatility,atr,"[5, 7, 10, 14, 20, 30, 50]","[7, 14, 20, 30]",2,100,preserve_warmup_nan,strictly_backward_looking,Research feature grid only. Not a trading signal or target label.,False
wgc_bollinger_window_grid_bollinger,bollinger_window_grid,range_channel,bollinger,"[10, 14, 20, 30, 50]","[10, 20, 30]",5,100,preserve_warmup_nan,strictly_backward_looking,Research feature grid only. Not a trading signal or target label.,False
wgc_donchian_window_grid_donchian,donchian_window_grid,range_channel,donchian,"[5, 10, 20, 30, 55, 100]","[10, 20, 55]",2,250,preserve_warmup_nan,strictly_backward_looking,Research feature grid only. Not a trading signal or target label.,False
wgc_zscore_window_grid_rolling_zscore,zscore_window_grid,mean_reversion,rolling_zscore,"[5, 10, 20, 30, 50, 100, 200]","[10, 20, 50, 100]",5,500,preserve_warmup_nan,strictly_backward_looking,Research feature grid only. Not a trading signal or target label.,False
wgc_realized_volatility_window_grid_realized_volatility,realized_volatility_window_grid,volatility,realized_volatility,"[5, 10, 20, 30, 60, 90]","[5, 10, 20, 30, 60]",3,250,preserve_warmup_nan,strictly_backward_looking,Research feature grid only. Not a trading signal or target label.,False
wgc_return_window_grid_simple_return,return_window_grid,return,simple_return,"[1, 2, 3, 5, 10, 20, 50]","[1, 3, 5, 10, 20]",1,100,preserve_warmup_nan,strictly_backward_looking,Research feature grid only. Not a trading signal or target label.,False
