category_id,category_label,category_name,description,example_sources,warnings
cat_news_source_official_statement,news_source_official_statement,Official Statement,Official announcements and communiques by sovereign or regulatory authorities.,"['CENTRAL_BANK_STATEMENTS_PLACEHOLDER', 'GOVERNMENT_AGENCY_RELEASES_PLACEHOLDER']",[]
cat_news_source_central_bank,news_source_central_bank,Central Bank,"Policy decisions, interest rate announcements, and monetary policy statement metadata.","['FED_RELEASES_PLACEHOLDER', 'ECB_COMMUNIQUES_PLACEHOLDER', 'TCMB_POLICY_PLACEHOLDER']",[]
cat_news_source_government_agency,news_source_government_agency,Government Agency,"Government departments (Treasury, Commerce, Labor) official statistical releases.","['BLS_RELEASES_PLACEHOLDER', 'CENSUS_RELEASES_PLACEHOLDER']",[]
cat_news_source_exchange_notice,news_source_exchange_notice,Exchange Notice,"Market operation notices, trading hour amendments, margin requirement changes.","['CME_NOTICES_PLACEHOLDER', 'ICE_NOTICES_PLACEHOLDER']",[]
cat_news_source_energy_agency,news_source_energy_agency,Energy Agency,"Energy information administration, IEA, and OPEC official report metadata.","['EIA_NOTICES_PLACEHOLDER', 'IEA_RELEASES_PLACEHOLDER']",[]
cat_news_source_general_financial_news_placeholder,news_source_general_financial_news_placeholder,General Financial News Placeholder,General public financial market news metadata contract placeholder.,['FINANCIAL_PORTAL_METADATA_PLACEHOLDER'],['No web scraping; metadata contracts only.']
cat_news_source_licensed_newswire_placeholder,news_source_licensed_newswire_placeholder,Licensed Newswire Placeholder,Enterprise financial newswires requiring subscription licenses.,['LICENSED_NEWSWIRE_FEED_PLACEHOLDER'],['No credential printing or automatic connection.']
cat_news_source_public_dataset_placeholder,news_source_public_dataset_placeholder,Public Dataset Placeholder,Open-access research datasets containing historical news headlines and tags.,['RESEARCH_NEWS_ARCHIVE_PLACEHOLDER'],['Manual review required for licensing boundaries.']
cat_news_source_manual_research_note,news_source_manual_research_note,Manual Research Note,User-curated offline research documents and news metadata logs.,['OFFLINE_RESEARCH_LEDGER'],[]
cat_news_source_local_analyst_note,news_source_manual_research_note,Local Analyst Note,Internal analyst event logs and macro commentary metadata.,['LOCAL_ANALYST_DIARY'],[]
