item_name,category,description,status,is_blocking,source_phase,next_phase,target_final_phase,non_signal
regime_transition_analysis_prerequisites,prerequisite,"Candidate state definitions, boundary contracts, and transition context availability verified.",READY,True,129,130,160,True
state_sequence_contract_prerequisites,contract,Standard schema established for recording historical state transitions without forward-looking bias.,READY,True,129,130,160,True
candidate_state_stability_prerequisites,metric_baseline,Baseline stability diagnostic scores registered across all 10 candidate states.,READY,True,129,130,160,True
transition_readiness_blockers_status,governance,Zero active blocking issues preventing initialization of transition diagnostics.,READY,False,129,130,160,True
no_lookahead_transition_constraints,safety,"Strict prohibition of shift(-1), forward returns, and future-timestamp linkages in transition matrices.",READY,True,129,130,160,True
non_signal_transition_analysis_requirements,safety,Explicit requirement that Phase 130 state transitions must never be interpreted as trade signals.,READY,True,129,130,160,True
quality_validation_dependency_requirements,dependency,"Linkages to Phase 121 validation, Phase 123 quality/drift, and Phase 124 store metadata confirmed.",READY,True,129,130,160,True
transition_timestamp_continuity_requirements,temporal,Strict monotonically increasing UTC timestamp requirement across transition sequences.,READY,True,129,130,160,True
metadata_only_news_requirements,copyright_safety,News attention context restricted to headline/topic metadata without scraping or full text.,READY,True,129,130,160,True
source_preservation_requirements,integrity,Source preservation and zero-mutation guarantees enforced across all transitional records.,READY,True,129,130,160,True
manual_review_blockers_before_phase_130,governance,Analyst manual review queue clear of Phase 130 blockers.,READY,False,129,130,160,True
clear_boundary_transition_stability_not_signals,boundary,Phase 130 will analyze state stability and transition dynamics without producing trade signals.,READY,True,129,130,160,True
