prerequisite_id,name,description,status,is_satisfied,non_signal
HND-147-01,walk_forward_validation_prerequisites,Rolling ve expanding pencere bolumleme sozlesmeleri icin gerekli motor arayuzu hazir.,SATISFIED,True,True
HND-147-02,out_of_sample_split_prerequisites,In-sample / out-of-sample zaman damgasi araliklarini kesisimsiz ayirma sozlesmesi hazir.,SATISFIED,True,True
HND-147-03,benchmark_framework_prerequisites,Strateji getirilerini pasif benchmark (Buy & Hold) ile karsilastirma arayuzu hazir.,SATISFIED,True,True
HND-147-04,realistic_backtest_engine_prerequisites,Olay tabanli ve vektorize motor sozlesmeleri tanimlandi.,SATISFIED,True,True
HND-147-05,transaction_cost_prerequisites,"Komisyon, borsa ucreti ve alis-satis makasi sozlesmeleri hazirlandi.",SATISFIED,True,True
HND-147-06,slippage_model_prerequisites,"Sabit, oynaklik ve likiditeye dayali kayma sozlesmeleri hazirlandi.",SATISFIED,True,True
HND-147-07,no_lookahead_guard_prerequisites,Zaman serisi ve asof backward muhafizlari aktif.,SATISFIED,True,True
HND-147-08,bias_control_prerequisites,"Survivorship, data snooping ve overfitting muhafizlari aktif.",SATISFIED,True,True
HND-147-09,regime_aware_evaluation_prerequisites,Phase 126-135 rejim durumlari ile backtest arasindaki baglanti sozlesmeleri hazir.,SATISFIED,True,True
HND-147-10,manual_review_blockers_cleared,Phase 147 oncesi zorunlu insan inceleme kapilari tanimlandi.,SATISFIED,True,True
