item_id,phase_number,phase_title,criterion,description,satisfied,contract_only,non_production,dry_run,current_phase,status
ACC-154-01,154,Portfolio Optimization and Allocation Constraints,advanced_portfolio_optimization module present,Module package and exports available for offline inspection.,True,True,True,True,157,portfolio_acceptance_ready
ACC-154-02,154,Portfolio Optimization and Allocation Constraints,portfolio optimization contracts present,"Contracts defining mean-variance, risk parity, and black-litterman optimization registered.",True,True,True,True,157,portfolio_acceptance_ready
ACC-154-03,154,Portfolio Optimization and Allocation Constraints,objective contracts present,"Return maximization, variance minimization, and utility objective specifications defined.",True,True,True,True,157,portfolio_acceptance_ready
ACC-154-04,154,Portfolio Optimization and Allocation Constraints,allocation constraint contracts present,"Turnover limits, leverage caps, long-only boundaries, and sector/asset bounds specified.",True,True,True,True,157,portfolio_acceptance_ready
ACC-154-05,154,Portfolio Optimization and Allocation Constraints,solver placeholders present,Solver interface placeholders configured without executing active solvers.,True,True,True,True,157,portfolio_acceptance_ready
ACC-154-06,154,Portfolio Optimization and Allocation Constraints,efficient frontier placeholders present,Frontier calculation placeholders registered in non-executing mode.,True,True,True,True,157,portfolio_acceptance_ready
ACC-154-07,154,Portfolio Optimization and Allocation Constraints,optimizer/solver disabled reports present,Explicit disabled execution reports registered confirming solver lockout.,True,True,True,True,157,portfolio_acceptance_ready
ACC-154-08,154,Portfolio Optimization and Allocation Constraints,no optimizer execution,Zero mathematical optimization runs or solver iterations executed.,True,True,True,True,157,portfolio_acceptance_ready
ACC-154-09,154,Portfolio Optimization and Allocation Constraints,no weight or rebalance generation executed,"Zero asset weights, capital allocations, or rebalancing trades produced.",True,True,True,True,157,portfolio_acceptance_ready
ACC-154-10,154,Portfolio Optimization and Allocation Constraints,Phase 155 handoff completed,Handoff to Phase 155 Risk Reporting verified and accepted.,True,True,True,True,157,portfolio_acceptance_ready
