prerequisite_id,topic,requirement,satisfied,status_label,non_signal,source_preserved,official_approval,production_ready,broker_ready,details
prereq_ml_dataset_contracts,Advanced ML Dataset Contracts Prerequisites,"Clean tabular schema, feature-target partition contracts, and leakage barriers.",True,runtime_ready,True,True,False,False,False,Ready for Phase 137 dataset contract initialization.
prereq_experiment_registry,Experiment Registry Prerequisites,"Deterministic run identifiers, parameter catalogs, and snapshot link schema.",True,runtime_ready,True,True,False,False,False,Experiment schema prepared in Phase 136 governance placeholders.
prereq_runtime_capabilities,GPU/CPU Runtime Capability Prerequisites,"Hardware discovery, device query, and core math packages verified.",True,runtime_ready,True,True,False,False,False,Local hardware and framework capabilities cataloged.
prereq_dependency_availability,Dependency Availability Prerequisites,"NumPy/Pandas verified, PyTorch/Scikit-Learn/optional gradient boosters inspected.",True,runtime_ready,True,True,False,False,False,Dependency status logged with graceful CPU fallback.
prereq_no_training_boundary,No-Training Safety Boundary Prerequisites,Model training routines remain strictly disabled in Phase 136 and Phase 137.,True,runtime_ready,True,True,False,False,False,Carries forward into Phase 137 dataset modeling.
prereq_no_lookahead_references,No-Lookahead Accepted References,Backward asof joins and strict chronological splits required for datasets.,True,runtime_ready,True,True,False,False,False,Phase 133 acceptance gates integrated.
prereq_metadata_only_news_refs,Metadata-Only News Accepted References,Zero raw article bodies or scraped HTML in dataset schemas.,True,runtime_ready,True,True,False,False,False,Purity policy locked and confirmed.
prereq_source_preservation_refs,Source Preservation Accepted References,DataLake records remain immutable; no auto-drop or auto-impute.,True,runtime_ready,True,True,False,False,False,Source immutability policy verified.
prereq_featurestore_regime_inputs,FeatureStore Accepted Regime Metadata Inputs,Phase 126-135 regime catalogs ready for dataset feature sets.,True,runtime_ready,True,True,False,False,False,8 regime catalogs verified and available in FeatureStore.
prereq_future_artifact_governance,Future Model Artifact Governance Prerequisites,"Model card schemas, checkpoint manifests, and drift monitoring placeholders ready.",True,runtime_ready,True,True,False,False,False,Governance placeholders defined in Phase 136.
prereq_manual_review_blockers,Manual Review Blockers Resolution,Zero unresolved safety blockers that would halt transition to Phase 137.,True,runtime_ready,True,True,False,False,False,Review queue verified free of safety-critical blockers.
prereq_clear_phase_137_boundary,Clear Phase 137 Execution Boundary,"Phase 137 defines datasets and experiment registry, but does NOT execute live trading or broker orders.",True,runtime_ready,True,True,False,False,False,Phase 137 boundary formally defined; final target remains Phase 160.
