family_id,family_name,algorithm_category,library_name,description,is_contract_only,real_training_allowed,model_fit_allowed,model_predict_allowed,inference_allowed,non_signal,production_ready,broker_ready,official_approval,tags
logistic_regression_baseline_contract,Logistic Regression Baseline Contract,linear_model,scikit-learn,Linear classification baseline contract placeholder for feature baseline benchmarks.,True,False,False,False,False,True,False,False,False,"linear, classification, baseline"
ridge_regression_baseline_contract,Ridge Regression Baseline Contract,linear_model,scikit-learn,L2-regularized linear regression baseline contract placeholder.,True,False,False,False,False,True,False,False,False,"linear, regression, regularized, baseline"
random_forest_baseline_contract,Random Forest Baseline Contract,tree_ensemble,scikit-learn,Bagged decision tree baseline contract placeholder for non-linear benchmark comparison.,True,False,False,False,False,True,False,False,False,"tree, ensemble, bagging, baseline"
gradient_boosting_baseline_contract,Gradient Boosting Baseline Contract,tree_ensemble,scikit-learn,Sequential boosting decision tree baseline contract placeholder.,True,False,False,False,False,True,False,False,False,"tree, ensemble, boosting, baseline"
xgboost_baseline_contract,XGBoost Baseline Contract,gradient_boosting,xgboost,Optimized distributed gradient boosting baseline contract placeholder.,True,False,False,False,False,True,False,False,False,"xgboost, tree, gradient_boosting, gpu_ready"
lightgbm_baseline_contract,LightGBM Baseline Contract,gradient_boosting,lightgbm,Fast histogram-based gradient boosting baseline contract placeholder.,True,False,False,False,False,True,False,False,False,"lightgbm, tree, gradient_boosting, histogram"
catboost_baseline_contract,CatBoost Baseline Contract,gradient_boosting,catboost,Categorical feature-aware gradient boosting baseline contract placeholder.,True,False,False,False,False,True,False,False,False,"catboost, tree, categorical, gpu_ready"
shallow_mlp_baseline_contract,Shallow MLP Baseline Contract,neural_network,torch,1-2 layer shallow multi-layer perceptron neural baseline contract placeholder.,True,False,False,False,False,True,False,False,False,"neural_network, mlp, pytorch, gpu_ready"
sequence_model_baseline_contract,Sequence Model Baseline Contract,sequence_model,torch,Simple recurrent/temporal convolution baseline contract placeholder.,True,False,False,False,False,True,False,False,False,"sequence, temporal, pytorch, gpu_ready"
unsupervised_model_placeholder_contract,Unsupervised Model Placeholder Contract,unsupervised,scikit-learn,PCA / clustering / dimensionality reduction contract placeholder.,True,False,False,False,False,True,False,False,False,"unsupervised, clustering, pca, placeholder"
