research_profile,preferred_provider,rationale
no_scraping_public_api_preferred,news_dry_run_fixture_provider,Prioritize zero scraping with local offline fixture.
local_cache_preferred,news_local_cache_provider_placeholder,Fast replay using cached local metadata.
manual_file_import_preferred,news_manual_file_provider_placeholder,User offline curated research file ingestion.
official_provider_preferred,news_official_api_provider_placeholder,Regulatory communiques from official channels.
news_metadata_provider_placeholder,news_licensed_provider_placeholder,Institutional feed contract testing.
macro_sensitive_research,news_dry_run_fixture_provider,Macro news metadata fixture evaluation.
gold_macro_research,news_dry_run_fixture_provider,Gold safe-haven and inflation metadata analysis.
oil_macro_research,news_dry_run_fixture_provider,Energy inventory and supply news linkage.
cross_asset_macro_research,news_dry_run_fixture_provider,Multi-asset intermarket metadata coverage.
volatility_regime_research,news_dry_run_fixture_provider,Market uncertainty and shock headline metadata.
risk_sentiment_research_placeholder,news_dry_run_fixture_provider,Systemic risk appetite classification testing.
