item_id,title,source_phase,next_phase,target_final_phase,status,description,non_signal,source_preserved
item_feature_engine_acceptance_prereq,Feature Engine Acceptance Prerequisites,124,125,160,READY,Phase 116 temel feature şemalarının feature store entegrasyonu tamamlandı.,True,True
item_technical_indicators_prereq,Indicator Catalog Acceptance Prerequisites,124,125,160,READY,Phase 117 teknik indikatörlerinin sözleşmeleri ve kayıtları hazır.,True,True
item_feature_grid_prereq,Multi-Window Grid Acceptance Prerequisites,124,125,160,READY,Phase 118 çoklu pencere grid çıktıları feature store şemasına bağlandı.,True,True
item_cross_asset_prereq,Cross-Asset Alignment Acceptance Prerequisites,124,125,160,READY,Phase 119 çapraz varlık asof join sözleşmeleri ve bağlamları entegre edildi.,True,True
item_macro_calendar_news_prereq,Macro/Calendar/News Fusion Acceptance Prerequisites,124,125,160,READY,Phase 120 füzyon metaverileri no-full-text ilkesiyle kaydedildi.,True,True
item_validation_no_lookahead_prereq,Validation/No-Lookahead Acceptance Prerequisites,124,125,160,READY,Phase 121 no-lookahead ve sızıntı denetimi doğrulama durumu kataloğuna aktarıldı.,True,True
item_factor_metadata_prereq,Factor Metadata Acceptance Prerequisites,124,125,160,READY,Phase 122 faktör aileleri ve bağımlılıkları faktör kataloğunda arşivlendi.,True,True
item_quality_drift_prereq,Quality/Drift Acceptance Prerequisites,124,125,160,READY,Phase 123 kalite ve drift tanı skorları feature store skor kayıtlarına bağlandı.,True,True
item_feature_store_integration_prereq,Feature Store Integration Acceptance Prerequisites,124,125,160,READY,"Phase 124 sözleşmeler, entity, şema, namespace ve manifest katmanları hazır.",True,True
item_documentation_acceptance_prereq,Documentation Acceptance Prerequisites,124,125,160,READY,"README, ARCHITECTURE, ROADMAP ve SAFE_USAGE kılavuzları güncellendi.",True,True
item_safety_boundary_acceptance_prereq,Safety Boundary Acceptance Prerequisites,124,125,160,READY,"Kesin al-sat, broker, model training ve kaynak silme yasakları uygulandı.",True,True
item_manual_review_blockers_tracking,Manual Review Blockers Tracking,124,125,160,READY,Phase 125 acceptance raporu öncesi çözülmemiş tüm engeller izleniyor.,True,True
