domain_id,domain_label,domain_name,description,required_outputs,warnings
dqd_data_quality_profile_domain,data_quality_profile_domain,Profile Registry,Data quality profile yönetimi,['profile_registry'],[]
dqd_quality_rule_domain,quality_rule_domain,Quality Rules,Tüm kalite kural tanımları ve kayıtları,['rule_registry'],[]
dqd_quality_severity_domain,quality_severity_domain,Severity Hierarchy,Kural ihlal ciddiyet seviyeleri,['severity_registry'],[]
dqd_schema_compliance_domain,schema_compliance_domain,Schema Compliance,Alan varlığı ve şema uyum kontrolleri,['schema_compliance_rule_set'],[]
dqd_missing_data_domain,missing_data_domain,Missing Data,Eksik alan ve eksik veri kontrolleri,['missing_data_rule_set'],[]
dqd_stale_data_domain,stale_data_domain,Stale Data,Bayat veri ve tazelik kontrolleri,['stale_data_rule_set'],[]
dqd_duplicate_data_domain,duplicate_data_domain,Duplicate Records,Tekrarlanan kayıt kontrolleri,['duplicate_data_rule_set'],[]
dqd_outlier_placeholder_domain,outlier_placeholder_domain,Outlier Placeholder,Uç değer tespit placeholder kuralları,['outlier_placeholder_rule_set'],[]
dqd_timestamp_integrity_domain,timestamp_integrity_domain,Timestamp Integrity,Zaman damgası bütünlük ve sıralama kontrolleri,['timestamp_integrity_rule_set'],[]
dqd_frequency_unit_domain,frequency_unit_domain,Frequency & Unit,Frekans ve birim tutarlılık kontrolleri,['frequency_unit_rule_set'],[]
dqd_fx_quality_domain,fx_quality_domain,FX Quality,Döviz veri seti kalite kuralları,['fx_quality_rule_set'],[]
dqd_commodity_quality_domain,commodity_quality_domain,Commodity Quality,"Emtia spot, vadeli ve ohlcv kuralları",['commodity_quality_rule_set'],[]
dqd_macro_quality_domain,macro_quality_domain,Macro Quality,Makro zaman serisi ve revizyon kuralları,['macro_quality_rule_set'],[]
dqd_calendar_quality_domain,calendar_quality_domain,Calendar Quality,Ekonomik takvim olay ve sürpriz kuralları,['calendar_quality_rule_set'],[]
dqd_news_metadata_quality_domain,news_metadata_quality_domain,News Metadata Quality,Haber metadata ve etiketleme kuralları,['news_metadata_quality_rule_set'],[]
dqd_provider_metadata_quality_domain,provider_metadata_quality_domain,Provider Metadata Quality,Sağlayıcı metadata ve lisans/credential kuralları,['provider_metadata_quality_rule_set'],[]
dqd_ohlc_consistency_domain,ohlc_consistency_domain,OHLC Consistency,OHLC fiyat tutarlılık kontratı,['ohlc_consistency_contract'],[]
dqd_quote_consistency_domain,quote_consistency_domain,Quote Consistency,Bid-ask ve spread tutarlılık kontratı,['quote_consistency_contract'],[]
dqd_event_release_consistency_domain,event_release_consistency_domain,Event Release Consistency,Yayın takvimi tutarlılık kontratı,['event_release_consistency_contract'],[]
dqd_news_copyright_quality_domain,news_copyright_quality_domain,News Copyright Boundary,Telif ve no-scraping sınır kontrolleri,['news_copyright_rule_set'],[]
dqd_quality_finding_domain,quality_finding_domain,Quality Findings,Kalite bulguları merkezi kaydı,['quality_finding_registry'],[]
dqd_manual_review_domain,manual_review_domain,Manual Review Queue,Manuel inceleme kuyruğu (non-destructive),['manual_review_queue'],[]
dqd_provider_quality_score_domain,provider_quality_score_domain,Provider Quality Score,Sağlayıcı kalite puanlama modeli,['provider_quality_score_report'],[]
dqd_dataset_quality_score_domain,dataset_quality_score_domain,Dataset Quality Score,Veri seti kalite puanlama modeli,['dataset_quality_score_report'],[]
dqd_cross_provider_quality_domain,cross_provider_quality_domain,Cross-Provider Quality,Sağlayıcılar arası kalite karşılaştırma placeholder,['cross_provider_quality_placeholder'],[]
dqd_data_quality_health_domain,data_quality_health_domain,Health Check,Data quality altyapı sağlık kontrolü,['data_quality_health_check'],[]
dqd_data_quality_validation_domain,data_quality_validation_domain,Validation,Kalite kuralları doğrulama raporu,['data_quality_validation_report'],[]
dqd_data_quality_safety_domain,data_quality_safety_domain,Safety Boundary,Güvenlik ve no-go sınırları,['data_quality_safety_boundary'],[]
dqd_phase_113_handoff_domain,phase_113_handoff_domain,Phase 113 Handoff,Phase 113 Data Normalization handoff raporu,['phase_113_handoff_report'],[]
