dependency_id,factor_name,dependency_type,dependency_ref,source_phase,dependency_note,mandatory,manual_review_required
dep_factor_trend_multi_window_context_5bd1086b,factor_trend_multi_window_context,moving_average_grid,advanced_feature_grid.moving_average_window_grid,Phase 118,Requires multi-window SMA/EMA curves.,True,False
dep_factor_trend_multi_window_context_1f4582bc,factor_trend_multi_window_context,validation_guard,advanced_feature_validation.no_lookahead_rules,Phase 121,Requires verified zero shift(-1) operations.,True,False
dep_factor_momentum_rsi_roc_context_05840418,factor_momentum_rsi_roc_context,momentum_grid,advanced_feature_grid.momentum_window_grid,Phase 118,Requires RSI and ROC multi-window features.,True,False
dep_factor_momentum_rsi_roc_context_b0f9e47c,factor_momentum_rsi_roc_context,validation_guard,advanced_feature_validation.feature_numeric_sanity_validation,Phase 121,Requires bounded oscillator sanity checks.,True,False
dep_factor_volatility_atr_realized_context_8cb0a4c1,factor_volatility_atr_realized_context,volatility_grid,advanced_feature_grid.volatility_window_grid,Phase 118,Requires ATR and rolling realized volatility series.,True,False
dep_factor_volatility_atr_realized_context_131acc66,factor_volatility_atr_realized_context,validation_guard,advanced_feature_validation.feature_infinite_value_validation,Phase 121,Requires zero infinite values in volatility features.,True,False
dep_factor_mean_reversion_zscore_context_5749a3d7,factor_mean_reversion_zscore_context,mean_reversion_grid,advanced_feature_grid.mean_reversion_window_grid,Phase 118,Requires rolling z-score and distance-to-MA features.,True,False
dep_factor_return_multi_horizon_context_6300c5c1,factor_return_multi_horizon_context,return_grid,advanced_feature_grid.return_window_grid,Phase 118,Requires trailing backward-only return grids.,True,False
dep_factor_quote_spread_context_placeholder_96774c89,factor_quote_spread_context_placeholder,quote_features,advanced_technical_indicators.quote_microstructure_features,Phase 117,Requires microstructure bid-ask spread quotes.,False,True
dep_factor_macro_inflation_rate_context_d154f489,factor_macro_inflation_rate_context,macro_fusion,advanced_feature_fusion.macro_calendar_fusion,Phase 120,Requires point-in-time inflation rates.,True,False
dep_factor_macro_inflation_rate_context_be1c6a5f,factor_macro_inflation_rate_context,validation_guard,advanced_feature_validation.macro_release_lag_validation,Phase 121,Guarantees release lag causality.,True,False
dep_factor_event_release_context_0e45007a,factor_event_release_context,calendar_event_windows,advanced_feature_fusion.calendar_event_window_features,Phase 120,Requires pre- and post-release event windows.,True,False
dep_factor_news_attention_context_9aad6663,factor_news_attention_context,news_metadata_fusion,advanced_feature_fusion.news_topic_feature_fusion,Phase 120,Requires metadata topic and entity count aggregations.,True,False
dep_factor_news_attention_context_cb3dc9b0,factor_news_attention_context,validation_guard,advanced_feature_validation.news_metadata_only_validation,Phase 121,Guarantees zero full text or web scraping.,True,False
dep_factor_cross_asset_context_7b43767c,factor_cross_asset_context,cross_asset_alignment,advanced_cross_asset_alignment.cross_domain_matrix,Phase 119,Requires aligned FX and commodity feature matrices.,True,False
dep_factor_regime_prep_placeholder_4c7a7805,factor_regime_prep_placeholder,multi_domain_grid,advanced_feature_grid.volatility_window_grid,Phase 118,Feeds candidate features for Phase 126+ regime classification.,False,True
dep_factor_composite_context_placeholder_2a22d7e1,factor_composite_context_placeholder,cross_domain_fusion,advanced_feature_fusion.cross_domain_context_fusion,Phase 120,"Aggregates technical, macro, and event features for research.",False,True
