contract_name,optimization_family,description,portfolio_construction_ref,risk_budget_ref,allocation_constraint_ref,objective_ref,solver_ref,backtest_acceptance_ref,benchmark_evaluation_ref,model_governance_ref,regime_context_ref,featurestore_ref,no_lookahead_guard_ref,investment_advice_guard_ref,portfolio_optimization_allowed,solver_execution_allowed,weight_generation_allowed,allocation_generation_allowed,rebalance_generation_allowed,order_generation_allowed,optimizer_execution_allowed,live_trading_allowed,broker_execution_allowed,signal_generation_allowed,manual_review_required,is_contract_valid
local_portfolio_optimization_contract,local_offline_generic,Temel yerel/cevrimdisi portfoy optimizasyon sozlesmesi,advanced_portfolio_construction_v153,risk_budget_contract_v153,long_only_and_max_weight,mean_variance_objective,convex_solver,advanced_backtest_acceptance_v152,advanced_benchmark_evaluation_v151,advanced_model_governance_v145,advanced_regime_acceptance_v135,featurestore_v2_v134,optimization_no_lookahead_guards,optimization_investment_advice_guards,False,False,False,False,False,False,False,False,False,False,True,True
mean_variance_optimization_contract,mean_variance,Markowitz ortalama-varyans optimizasyon sozlesmesi,advanced_portfolio_construction_v153,risk_budget_contract_v153,gross_exposure_and_box_weights,mean_variance_objective,convex_solver,advanced_backtest_acceptance_v152,advanced_benchmark_evaluation_v151,advanced_model_governance_v145,advanced_regime_acceptance_v135,featurestore_v2_v134,optimization_no_lookahead_guards,optimization_investment_advice_guards,False,False,False,False,False,False,False,False,False,False,True,True
minimum_variance_optimization_contract,minimum_variance,Minimum varyans (en dusuk portfoy oynakligi) sozlesmesi,advanced_portfolio_construction_v153,risk_budget_contract_v153,long_only_full_investment,min_variance_objective,convex_solver,advanced_backtest_acceptance_v152,advanced_benchmark_evaluation_v151,advanced_model_governance_v145,advanced_regime_acceptance_v135,featurestore_v2_v134,optimization_no_lookahead_guards,optimization_investment_advice_guards,False,False,False,False,False,False,False,False,False,False,True,True
maximum_sharpe_optimization_contract,maximum_sharpe,Maksimum Sharpe orani (tanjant portfoy) sozlesmesi,advanced_portfolio_construction_v153,risk_budget_contract_v153,long_only_and_budget_constraints,max_sharpe_objective,convex_solver,advanced_backtest_acceptance_v152,advanced_benchmark_evaluation_v151,advanced_model_governance_v145,advanced_regime_acceptance_v135,featurestore_v2_v134,optimization_no_lookahead_guards,optimization_investment_advice_guards,False,False,False,False,False,False,False,False,False,False,True,True
risk_parity_optimization_contract,risk_parity,Risk paritesi (esit risk katkisi) optimizasyon sozlesmesi,advanced_portfolio_construction_v153,risk_budget_contract_v153,positive_weights_and_risk_budget,risk_parity_objective,heuristic_solver,advanced_backtest_acceptance_v152,advanced_benchmark_evaluation_v151,advanced_model_governance_v145,advanced_regime_acceptance_v135,featurestore_v2_v134,optimization_no_lookahead_guards,optimization_investment_advice_guards,False,False,False,False,False,False,False,False,False,False,True,True
cvar_optimization_contract,cvar,Kosullu Riske Maruz Deger (CVaR / Expected Shortfall) minimizasyon sozlesmesi,advanced_portfolio_construction_v153,risk_budget_contract_v153,cvar_loss_threshold_and_weights,cvar_objective,convex_solver,advanced_backtest_acceptance_v152,advanced_benchmark_evaluation_v151,advanced_model_governance_v145,advanced_regime_acceptance_v135,featurestore_v2_v134,optimization_no_lookahead_guards,optimization_investment_advice_guards,False,False,False,False,False,False,False,False,False,False,True,True
drawdown_aware_optimization_contract,drawdown_aware,Dususe duyarli (maximum drawdown kısıtlı) optimizasyon sozlesmesi,advanced_portfolio_construction_v153,risk_budget_contract_v153,drawdown_budget_and_exposure,drawdown_minimization_objective,heuristic_solver,advanced_backtest_acceptance_v152,advanced_benchmark_evaluation_v151,advanced_model_governance_v145,advanced_regime_acceptance_v135,featurestore_v2_v134,optimization_no_lookahead_guards,optimization_investment_advice_guards,False,False,False,False,False,False,False,False,False,False,True,True
cost_slippage_aware_optimization_contract,cost_slippage_aware,Islem maliyeti ve piyasa kaymasi duzeltmeli optimizasyon sozlesmesi,advanced_portfolio_construction_v153,risk_budget_contract_v153,turnover_and_cost_ceiling,cost_and_slippage_aware_objective,convex_solver,advanced_backtest_acceptance_v152,advanced_benchmark_evaluation_v151,advanced_model_governance_v145,advanced_regime_acceptance_v135,featurestore_v2_v134,optimization_no_lookahead_guards,optimization_investment_advice_guards,False,False,False,False,False,False,False,False,False,False,True,True
regime_aware_optimization_contract,regime_aware,Piyasa rejimi baglamina duyarlı portfoy optimizasyon sozlesmesi,advanced_portfolio_construction_v153,risk_budget_contract_v153,regime_specific_exposure_limits,regime_aware_objective,heuristic_solver,advanced_backtest_acceptance_v152,advanced_benchmark_evaluation_v151,advanced_model_governance_v145,advanced_regime_acceptance_v135,featurestore_v2_v134,optimization_no_lookahead_guards,optimization_investment_advice_guards,False,False,False,False,False,False,False,False,False,False,True,True
robust_optimization_contract,robust_optimization,Belirsizlik kumesi duyarlı saglam (robust) optimizasyon sozlesmesi,advanced_portfolio_construction_v153,risk_budget_contract_v153,ellipsoidal_uncertainty_bounds,robust_optimization_objective,convex_solver,advanced_backtest_acceptance_v152,advanced_benchmark_evaluation_v151,advanced_model_governance_v145,advanced_regime_acceptance_v135,featurestore_v2_v134,optimization_no_lookahead_guards,optimization_investment_advice_guards,False,False,False,False,False,False,False,False,False,False,True,True
