taxonomy_id,taxonomy_name,relationship_type,description,diagnostic_role,allows_trading_signal,allows_prediction,requires_no_lookahead,non_signal,source_preserved
tax_co_movement,Cross-Asset Co-Movement Context,co_movement_context,Descriptive directional or state concurrence across asset classes without trade signaling.,state_concurrence_monitoring,False,False,True,True,True
tax_divergence,Cross-Asset Divergence Context,divergence_context,Observation of decoupling between historical or baseline linked assets; strictly NOT trade entry.,decoupling_diagnostics,False,False,True,True,True
tax_convergence,Cross-Asset Convergence Context,convergence_context,Observation of narrowing gap across correlated regimes; strictly NOT mean-reversion trading rule.,re-coupling_diagnostics,False,False,True,True,True
tax_volatility_linkage,Cross-Asset Volatility Linkage Context,volatility_linkage_context,"Assessment of contemporaneous volatility level, compression, and expansion alignment across domains.",volatility_spillover_context,False,False,True,True,True
tax_trend_linkage,Cross-Asset Trend Linkage Context,trend_linkage_context,Analysis of multi-asset trend persistence and joint momentum state alignment without directional trade claims.,trend_congruence_context,False,False,True,True,True
tax_range_linkage,Cross-Asset Range Linkage Context,range_linkage_context,Examination of joint rangebound consolidation and breakout test regimes across correlated assets.,consolidation_structure_context,False,False,True,True,True
tax_macro_sensitivity,Macro Sensitivity Regime Context,macro_sensitivity_context,"Contextual mapping of rate, inflation, and growth release states to asset regime behaviors.",macro_environment_mapping,False,False,True,True,True
tax_event_sensitivity,Event Sensitivity Regime Context,event_sensitivity_context,Scheduled economic event window positioning and release boundary context.,calendar_window_profiling,False,False,True,True,True
tax_news_metadata_linkage,News Metadata Linkage Context,news_metadata_linkage_context,"Topic tag clustering and freshness metadata linkages without article text, scraping, or NLP models.",metadata_attention_context,False,False,True,True,True
tax_transition_alignment,Transition Alignment Context,transition_alignment_context,Temporal alignment of Phase 130 state transitions between FX and commodity series.,multi_asset_transition_synchronization,False,False,True,True,True
tax_lead_lag_placeholder,Lead-Lag Placeholder Context,lead_lag_placeholder_context,Descriptive temporal precedence metadata placeholder without causality estimation or future forecasting.,structural_lead_lag_specification,False,False,True,True,True
tax_correlation_placeholder,Correlation Placeholder Context,correlation_placeholder_context,Tabular statistical placeholder schema for correlation coefficients without predictive modeling.,empirical_co_dependence_structure,False,False,True,True,True
tax_uncertainty,Cross-Asset Uncertainty Context,uncertainty_context,Ambiguity and dispersion quantification across discordant cross-asset regime states.,regime_discordance_measurement,False,False,True,True,True
