lineage_area,normalized_dataset_type,transformation_rule,source_field,target_field,mapping_source,provenance_need,audit_note,manual_review_required
Source-to-normalized field lineage,all,field_level_canonicalization,raw_columns,canonical_fields,canonical_field_registry,Her kanonik alanın hangi ham sütundan türetildiğinin grafiği.,Phase 113 kanonik alan kataloğu Phase 114 soy kütüğüne hazırlandı.,False
Symbol mapping provenance,dataset_fx_quote,symbol_slashing_and_root_mapping,"pair, symbol","normalized_pair, normalized_symbol",fx_symbol_normalization_enforcement,Sembol dönüşüm tablosu kaynak ve hedef ilişki kaydı.,FX ve emtia sembol eşlemeleri Phase 114'e devredildi.,False
Timestamp timezone provenance,all,iso8601_utc_normalization,timestamp,normalized_timestamp,timestamp_timezone_normalization,Orijinal saat dilimi ve UTC çevrim dönüşüm kanıtı.,UTC kanonik standardı Phase 114 için hazırlandı.,False
Unit/frequency mapping provenance,dataset_macro_timeseries,vocabulary_standardization,"unit, frequency","normalized_unit, normalized_frequency","unit_normalization, frequency_normalization",Birim ve periyot sözlük dönüşüm haritası.,Dönüşüm değer çarpanı uygulanmadı; sözlük standardı kaydedildi.,True
Provider name canonicalization provenance,dataset_provider_metadata,provider_slugification,provider_name,normalized_provider_name,provider_name_normalization,Sağlayıcı takma adları ile kanonik sağlayıcı kimliği bağlantısı.,Credential içermeyen sağlayıcı isimleri bağlandı.,False
News metadata-only provenance,dataset_news_metadata,metadata_only_boundary_preservation,"tags, headline",normalized_tags,news_topic_tag_normalization_enforcement,Haber metin gövdesi indirilmediğinin ve telif hakkı güvenliğinin kanıtı.,Sıfır tam metin kuralı teyit edildi.,False
Calendar release event provenance,dataset_calendar_event,event_naming_and_time_split,"canonical_event, scheduled_time","normalized_event, scheduled_time",calendar_event_normalization_enforcement,Planlanan ve gerçekleşen saat ayrımının soy kütüğü.,Gecikme süresi verisi ayrık olarak tutuluyor.,False
Macro revision/frequency provenance,dataset_macro_timeseries,timeseries_frequency_revision_policy,"value, timestamp","normalized_value, normalized_timestamp",macro_indicator_normalization_enforcement,Revizyon serilerinin ve frekans uyumunun soy kütüğü izi.,Revizyon geçmişi Phase 114 soy kütüğüne hazırlandı.,True
Commodity futures metadata provenance,dataset_commodity_spot,futures_contract_root_derivation,symbol,normalized_symbol,commodity_symbol_normalization_enforcement,Vadeli kontrat kodundan sürekli kontrat köküne dönüşüm kanıtı.,Sürekli kontrat kök eşleştirmesi tamamlandı.,True
Duplicate key derivation provenance,all,canonical_duplicate_key_composite,primary_key_fields,canonical_duplicate_key,duplicate_key_normalization,Bileşik anahtar üretiminde kullanılan alanların tam listesi.,Kayıt silinmediği ve yalnızca anahtar üretildiği doğrulandı.,False
Normalized view manifest provenance,all,view_manifest_record,original_ref,normalized_ref,normalized_view_models,Kaynak dosya URI ile hedef normalize görünüm URI arasındaki birebir bağ.,Non-destructive görünüm referansları bağlandı.,False
