contract_id,source_component,source_phase,dataset_entity,accepted_reference_required,no_lookahead_accepted_required,metadata_only_news_accepted_required,source_preserved_required,non_signal_required,target_label_forbidden,prediction_forbidden,model_training_allowed,status_label,manual_review_required,non_signal,source_preserved,details
contract_phase_126_regime_taxonomy,advanced_regime_foundation,126,market_behavior_regime_taxonomy,True,True,True,True,True,True,True,False,runtime_ready,False,True,True,Taxonomy definitions and regime family mappings as discrete metadata inputs.
contract_phase_127_regime_matrix,advanced_regime_matrix,127,regime_feature_matrix_contracts,True,True,True,True,True,True,True,False,runtime_ready,False,True,True,Regime feature matrices and state dataset schemas with timestamp alignment.
contract_phase_128_candidate_states,advanced_regime_rule_free,128,candidate_state_assignment_specs,True,True,True,True,True,True,True,False,runtime_ready,False,True,True,Unsupervised prep contracts and candidate state metadata without trade signals.
contract_phase_129_behavior_diagnostics,advanced_market_behavior_diagnostics,129,market_behavior_diagnostics_metrics,True,True,True,True,True,True,True,False,runtime_ready,False,True,True,Quality and behavior consistency metrics as feature filtering gates.
contract_phase_130_transition_stability,advanced_regime_transition,130,regime_transition_stability_metrics,True,True,True,True,True,True,True,False,runtime_ready,False,True,True,State transition continuity and persistence metrics for sequence models.
contract_phase_131_cross_asset_context,advanced_cross_asset_regime_context,131,cross_asset_regime_context_pairs,True,True,True,True,True,True,True,False,runtime_ready,False,True,True,"Cross-asset volatility, trend, and range linkages as multi-asset features."
contract_phase_132_macro_event_news,advanced_macro_event_news_regime,132,macro_event_news_regime_context,True,True,True,True,True,True,True,False,runtime_ready,False,True,True,"Macro release lags, event windows, and news metadata tags strictly without raw text."
contract_phase_133_validation_acceptance,advanced_regime_validation_acceptance,133,regime_validation_no_lookahead_gates,True,True,True,True,True,True,True,False,runtime_ready,False,True,True,Accepted no-lookahead backward asof join specifications.
contract_phase_134_featurestore_catalog,advanced_regime_featurestore_integration,134,regime_featurestore_catalogs,True,True,True,True,True,True,True,False,runtime_ready,False,True,True,Standardized FeatureStore entity namespaces and read contracts.
contract_phase_135_regime_manifest,advanced_regime_acceptance,135,regime_block_acceptance_manifest,True,True,True,True,True,True,True,False,runtime_ready,False,True,True,Complete Phase 126-135 block acceptance verification and non-signal compliance.
