domain_name,description,status,current_phase,target_final_phase,next_phase,dry_run_only,non_signal,real_training_allowed,active_profile
gpu_training_governance_profile_domain,Governance profiles for offline GPU training harness,gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
gpu_training_governance_domain,Root governance domain for Phase 139 ML harness,gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
resource_policy_domain,GPU/CPU training resource budget and restriction policies,gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
device_selection_policy_domain,Device preference and fallback rules without allocation,gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
memory_budget_policy_domain,VRAM memory fraction caps and system reserved memory rules,gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
cpu_fallback_policy_domain,Deterministic CPU fallback policies when GPU unavailable,gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
timeout_policy_domain,Training loop execution timeout limits and watchdog rules,gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
batch_size_placeholder_domain,Batch size placeholder schema for future ML iterations,gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
dataloader_placeholder_domain,Dataloader placeholder contracts with zero dataset reading,gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
training_loop_stub_contract_domain,Contracts defining stubbed execution and forbidden methods,gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
harness_interface_domain,"Interface contracts for resource checks, simulations, and validation",gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
harness_stub_domain,Stub implementation returning blocked execution status and metadata,gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
dry_run_resource_check_domain,Dry-run verification of compute and hardware constraints,gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
dry_run_device_selection_domain,Simulated device selector returning safe device metadata,gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
dry_run_memory_guard_domain,Pre-execution memory allocation guard against OOM,gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
dry_run_timeout_guard_domain,Timeout guard ensuring no runaway loops occur,gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
dry_run_execution_block_domain,Static and runtime keyword blocks preventing execution,gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
no_real_training_domain,Explicit verification that real model training is disabled,gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
no_prediction_domain,Explicit verification that model prediction/inference is disabled,gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
no_target_label_domain,Explicit verification that target/label generation is disabled,gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
artifact_disabled_domain,Explicit verification that model artifact writing is blocked,gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
model_registry_write_disabled_domain,Explicit verification that registry writing is blocked,gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
dataset_dependency_domain,Verification of Phase 137 dataset contract dependencies,gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
baseline_model_dependency_domain,Verification of Phase 138 baseline model contract dependencies,gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
runtime_dependency_domain,Verification of Phase 136 GPU/ML runtime capabilities,gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
featurestore_input_dependency_domain,Verification of FeatureStore catalog integration,gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
no_lookahead_guard_domain,Guard ensuring no future return or lookahead leakage,gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
metadata_only_news_guard_domain,"Guard rejecting raw text, embeddings, and sentiment output",gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
source_preservation_guard_domain,Guard preventing destructive mutation and file deletion,gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
forbidden_column_policy_domain,"Forbidden column catalog (signals, targets, predictions)",gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
resource_audit_placeholder_domain,Audit schema capturing simulated resource usage,gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
experiment_audit_placeholder_domain,Audit schema capturing simulated experiment runs,gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
manual_review_domain,Manual review items required prior to real execution phases,gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
finding_domain,Audit findings and governance observations,gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
readiness_score_domain,Readiness score report for Phase 139 governance layer,gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
manifest_domain,Comprehensive Phase 139 governance manifest,gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
health_domain,System health and prerequisite checks,gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
validation_domain,Validation report verifying all constraints and contracts,gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
safety_domain,NO-GO and SAFE-GO security boundary definitions,gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
phase_140_handoff_domain,Handoff prerequisites to Phase 140 candidate model registry,gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
unknown_gpu_training_governance_domain,Fallback domain for unclassified items,gpu_governance_ready,139,160,140,True,True,False,balanced_local_gpu_training_governance
