handoff_id,item_id,topic,description,satisfied,source_phase,target_phase,target_final_phase,manual_review_required,non_signal,contract_only,non_production,status
HND-154-155-001,HND-155-01,portfolio_optimization_contracts_delivered,"Portfoy optimizasyon sozlesmeleri (cerceve, evren, varlik, amac, kisit, cozuculer, cikti sozlesmeleri) tamamlandi.",True,154,155,160,True,True,True,True,HANDOFF_READY
HND-154-155-001,HND-155-02,optimization_objective_contracts_delivered,"11 adet optimizasyon amac fonksiyon sozlesmesi ve yer tutucusu (mean-variance, min-variance, sharpe, risk parity, cvar, drawdown, turnover, cost, slippage, regime, robust) tamamlandi.",True,154,155,160,True,True,True,True,HANDOFF_READY
HND-154-155-001,HND-155-03,allocation_constraint_contracts_delivered,"22 adet tahsisat kisit sozlesmesi ve yer tutucusu (long-only, agirlik, grup, yogunlasma, maruziyetler, korelasyon, likidite, devir, maliyet, risk butcesi, volatilite, drawdown, kaldirac, teminat, rebalance) tamamlandi.",True,154,155,160,True,True,True,True,HANDOFF_READY
HND-154-155-001,HND-155-04,solver_and_frontier_placeholders_delivered,"Konveks, sezgisel, grid arama cozuculeri yer tutuculari ve etkin sinir yer tutuculari ile devre disi birakilan calistirici raporlari tamamlandi.",True,154,155,160,True,True,True,True,HANDOFF_READY
HND-154-155-001,HND-155-05,output_and_metric_placeholders_delivered,"Optimizasyon sonuc, tahsisat ve yeniden dengeleme cikti sozlesmeleri ile metrik yer tutuculari tamamlandi.",True,154,155,160,True,True,True,True,HANDOFF_READY
HND-154-155-001,HND-155-06,dependencies_and_guards_delivered,"Portfoy insa, backtest, benchmark, model yonetisim ve rejim bagimliliklari ile 12 muhafiz ve 52 yasakli sutun karantina politikasi tamamlandi.",True,154,155,160,True,True,True,True,HANDOFF_READY
HND-154-155-001,HND-155-07,disabled_execution_reports_delivered,"10 devre disi calistirma raporu (optimizasyon, agirlik uretimi, tahsisat uretimi, yeniden dengeleme, metrik hesabi, egitim, tahmin, canli trading, broker, dagitim) tamamlandi.",True,154,155,160,True,True,True,True,HANDOFF_READY
HND-154-155-001,HND-155-08,findings_and_master_manifest_delivered,"Portfoy optimizasyon bulgulari, hazirlik skoru ve Phase 154 ana manifestosu hazirlandi.",True,154,155,160,True,True,True,True,HANDOFF_READY
HND-154-155-001,HND-155-09,readiness_score_threshold_met,"Hazirlik skoru >= 0.75 olup, portfolio_optimization_contract_ready_non_production seviyesine ulasildi.",True,154,155,160,True,True,True,True,HANDOFF_READY
HND-154-155-001,HND-155-10,strict_non_production_boundary_enforced,"Canli emir, broker entegrasyonu, gercek portfoy agirligi, gercek optimizasyon cozumu veya lot uretilmemesi kosulu korundu.",True,154,155,160,True,True,True,True,HANDOFF_READY
