stub_id,trainer_name,model_family_ref,harness_contract_ref,is_active_stub,execution_status,blocked_reason,manual_review_required,real_training_executed,model_fit_executed,model_predict_executed,target_label_generated,artifact_persisted,non_signal
trainer_stub_logistic_regression_baseline_contract,DryRunLogisticRegressionBaselineContractStub,logistic_regression_baseline_contract,harness_contract_standard_linear,True,execution_blocked_no_real_training,Zero-training policy active in Phase 138 baseline model contracts,True,False,False,False,False,False,True
trainer_stub_ridge_regression_baseline_contract,DryRunRidgeRegressionBaselineContractStub,ridge_regression_baseline_contract,harness_contract_standard_linear,True,execution_blocked_no_real_training,Zero-training policy active in Phase 138 baseline model contracts,True,False,False,False,False,False,True
trainer_stub_random_forest_baseline_contract,DryRunRandomForestBaselineContractStub,random_forest_baseline_contract,harness_contract_standard_linear,True,execution_blocked_no_real_training,Zero-training policy active in Phase 138 baseline model contracts,True,False,False,False,False,False,True
trainer_stub_gradient_boosting_baseline_contract,DryRunGradientBoostingBaselineContractStub,gradient_boosting_baseline_contract,harness_contract_standard_linear,True,execution_blocked_no_real_training,Zero-training policy active in Phase 138 baseline model contracts,True,False,False,False,False,False,True
trainer_stub_xgboost_baseline_contract,DryRunXGBoostBaselineContractStub,xgboost_baseline_contract,harness_contract_standard_linear,True,execution_blocked_no_real_training,Zero-training policy active in Phase 138 baseline model contracts,True,False,False,False,False,False,True
trainer_stub_lightgbm_baseline_contract,DryRunLightGBMBaselineContractStub,lightgbm_baseline_contract,harness_contract_standard_linear,True,execution_blocked_no_real_training,Zero-training policy active in Phase 138 baseline model contracts,True,False,False,False,False,False,True
trainer_stub_catboost_baseline_contract,DryRunCatBoostBaselineContractStub,catboost_baseline_contract,harness_contract_standard_linear,True,execution_blocked_no_real_training,Zero-training policy active in Phase 138 baseline model contracts,True,False,False,False,False,False,True
trainer_stub_shallow_mlp_baseline_contract,DryRunShallowMLPBaselineContractStub,shallow_mlp_baseline_contract,harness_contract_standard_linear,True,execution_blocked_no_real_training,Zero-training policy active in Phase 138 baseline model contracts,True,False,False,False,False,False,True
trainer_stub_sequence_model_baseline_contract,DryRunSequenceModelBaselineContractStub,sequence_model_baseline_contract,harness_contract_standard_linear,True,execution_blocked_no_real_training,Zero-training policy active in Phase 138 baseline model contracts,True,False,False,False,False,False,True
trainer_stub_unsupervised_model_placeholder_contract,DryRunUnsupervisedModelPlaceholderContractStub,unsupervised_model_placeholder_contract,harness_contract_standard_linear,True,execution_blocked_no_real_training,Zero-training policy active in Phase 138 baseline model contracts,True,False,False,False,False,False,True
