forbidden_column,policy,reason,enforced,non_signal
signal,QUARANTINE_AND_REJECT,"Prevents directional claims, lookahead bias, unapproved predictions, or copyright leakage.",True,True
buy,QUARANTINE_AND_REJECT,"Prevents directional claims, lookahead bias, unapproved predictions, or copyright leakage.",True,True
sell,QUARANTINE_AND_REJECT,"Prevents directional claims, lookahead bias, unapproved predictions, or copyright leakage.",True,True
long,QUARANTINE_AND_REJECT,"Prevents directional claims, lookahead bias, unapproved predictions, or copyright leakage.",True,True
short,QUARANTINE_AND_REJECT,"Prevents directional claims, lookahead bias, unapproved predictions, or copyright leakage.",True,True
position,QUARANTINE_AND_REJECT,"Prevents directional claims, lookahead bias, unapproved predictions, or copyright leakage.",True,True
target,QUARANTINE_AND_REJECT,"Prevents directional claims, lookahead bias, unapproved predictions, or copyright leakage.",True,True
label,QUARANTINE_AND_REJECT,"Prevents directional claims, lookahead bias, unapproved predictions, or copyright leakage.",True,True
prediction,QUARANTINE_AND_REJECT,"Prevents directional claims, lookahead bias, unapproved predictions, or copyright leakage.",True,True
recommendation,QUARANTINE_AND_REJECT,"Prevents directional claims, lookahead bias, unapproved predictions, or copyright leakage.",True,True
future_return,QUARANTINE_AND_REJECT,"Prevents directional claims, lookahead bias, unapproved predictions, or copyright leakage.",True,True
forward_return,QUARANTINE_AND_REJECT,"Prevents directional claims, lookahead bias, unapproved predictions, or copyright leakage.",True,True
next_return,QUARANTINE_AND_REJECT,"Prevents directional claims, lookahead bias, unapproved predictions, or copyright leakage.",True,True
lookahead_return,QUARANTINE_AND_REJECT,"Prevents directional claims, lookahead bias, unapproved predictions, or copyright leakage.",True,True
realized_future_pnl,QUARANTINE_AND_REJECT,"Prevents directional claims, lookahead bias, unapproved predictions, or copyright leakage.",True,True
future_pnl,QUARANTINE_AND_REJECT,"Prevents directional claims, lookahead bias, unapproved predictions, or copyright leakage.",True,True
perfect_fill,QUARANTINE_AND_REJECT,"Prevents directional claims, lookahead bias, unapproved predictions, or copyright leakage.",True,True
leak,QUARANTINE_AND_REJECT,"Prevents directional claims, lookahead bias, unapproved predictions, or copyright leakage.",True,True
leakage,QUARANTINE_AND_REJECT,"Prevents directional claims, lookahead bias, unapproved predictions, or copyright leakage.",True,True
full_text,QUARANTINE_AND_REJECT,"Prevents directional claims, lookahead bias, unapproved predictions, or copyright leakage.",True,True
article_body,QUARANTINE_AND_REJECT,"Prevents directional claims, lookahead bias, unapproved predictions, or copyright leakage.",True,True
raw_content,QUARANTINE_AND_REJECT,"Prevents directional claims, lookahead bias, unapproved predictions, or copyright leakage.",True,True
scraped_html,QUARANTINE_AND_REJECT,"Prevents directional claims, lookahead bias, unapproved predictions, or copyright leakage.",True,True
page_html,QUARANTINE_AND_REJECT,"Prevents directional claims, lookahead bias, unapproved predictions, or copyright leakage.",True,True
html,QUARANTINE_AND_REJECT,"Prevents directional claims, lookahead bias, unapproved predictions, or copyright leakage.",True,True
embedding,QUARANTINE_AND_REJECT,"Prevents directional claims, lookahead bias, unapproved predictions, or copyright leakage.",True,True
vector,QUARANTINE_AND_REJECT,"Prevents directional claims, lookahead bias, unapproved predictions, or copyright leakage.",True,True
sentiment,QUARANTINE_AND_REJECT,"Prevents directional claims, lookahead bias, unapproved predictions, or copyright leakage.",True,True
sentiment_score,QUARANTINE_AND_REJECT,"Prevents directional claims, lookahead bias, unapproved predictions, or copyright leakage.",True,True
