checkpoint_id,component_name,expected_module,expected_scripts,expected_tests,expected_manifest,expected_validation_report,expected_safety_boundary,expected_handoff,contract_only,non_production,manual_review_required,production_ready,broker_ready,signal_ready,non_signal,is_valid,current_phase,target_final_phase,next_phase,status
CHK-136,phase_136_gpu_ml_runtime_foundation,advanced_gpu_ml_runtime,['run_gpu_device_discovery.py'],['test_gpu_ml_runtime_config.py'],manifest_phase_136_gpu_ml_runtime.json,validation_report_phase_136.json,safety_boundary_phase_136.json,phase_137_handoff.py,True,True,True,False,False,False,True,True,145,160,146,acceptance_ready
CHK-137,phase_137_ml_dataset_contracts_experiment_registry,advanced_ml_dataset_registry,['run_ml_dataset_contracts.py'],['test_ml_dataset_contracts.py'],manifest_phase_137_dataset_registry.json,validation_report_phase_137.json,safety_boundary_phase_137.json,phase_138_handoff.py,True,True,True,False,False,False,True,True,145,160,146,acceptance_ready
CHK-138,phase_138_baseline_ml_model_contracts_dry_run_harness,advanced_baseline_ml_models,['run_baseline_ml_model_contracts.py'],['test_ml_model_family_placeholders.py'],manifest_phase_138_baseline_models.json,validation_report_phase_138.json,safety_boundary_phase_138.json,phase_139_handoff.py,True,True,True,False,False,False,True,True,145,160,146,acceptance_ready
CHK-139,phase_139_gpu_training_harness_resource_governance,advanced_gpu_training_governance,['run_gpu_training_governance_profile_registry.py'],['test_gpu_training_governance_config.py'],manifest_phase_139_gpu_training_governance.json,validation_report_phase_139.json,safety_boundary_phase_139.json,phase_140_handoff.py,True,True,True,False,False,False,True,True,145,160,146,acceptance_ready
CHK-140,phase_140_ensemble_model_contracts_candidate_registry,advanced_ensemble_model_registry,['run_ensemble_candidate_registry.py'],['test_ensemble_candidate_registry.py'],manifest_phase_140_ensemble_registry.json,validation_report_phase_140.json,safety_boundary_phase_140.json,phase_141_handoff.py,True,True,True,False,False,False,True,True,145,160,146,acceptance_ready
CHK-141,phase_141_probability_calibration_uncertainty_contracts,advanced_calibration_uncertainty,['run_calibration_uncertainty_contracts.py'],['test_probability_calibration_contracts.py'],manifest_phase_141_calibration_uncertainty.json,validation_report_phase_141.json,safety_boundary_phase_141.json,phase_142_handoff.py,True,True,True,False,False,False,True,True,145,160,146,acceptance_ready
CHK-142,phase_142_model_drift_monitoring_feature_drift_linkage,advanced_model_drift_monitoring,['run_model_drift_monitoring_contracts.py'],['test_model_drift_monitoring_contracts.py'],manifest_phase_142_model_drift.json,validation_report_phase_142.json,safety_boundary_phase_142.json,phase_143_handoff.py,True,True,True,False,False,False,True,True,145,160,146,acceptance_ready
CHK-143,phase_143_explainability_feature_attribution_reports,advanced_explainability_attribution,['run_explainability_attribution_contracts.py'],['test_feature_attribution_contracts.py'],manifest_phase_143_explainability.json,validation_report_phase_143.json,safety_boundary_phase_143.json,phase_144_handoff.py,True,True,True,False,False,False,True,True,145,160,146,acceptance_ready
CHK-144,phase_144_model_governance_model_cards_audit_trail,advanced_model_governance,['run_model_governance_contracts.py'],['test_model_governance_contracts.py'],manifest_phase_144_model_governance.json,validation_report_phase_144.json,safety_boundary_phase_144.json,phase_145_handoff.py,True,True,True,False,False,False,True,True,145,160,146,acceptance_ready
CHK-145,phase_145_advanced_ml_acceptance_report,advanced_ml_acceptance,['run_advanced_ml_acceptance_manifest.py'],['test_advanced_ml_acceptance_manifest.py'],manifest_phase_145_advanced_ml_acceptance.json,validation_report_phase_145.json,safety_boundary_phase_145.json,phase_146_handoff.py,True,True,True,False,False,False,True,True,145,160,146,acceptance_ready
