scope_key,description,is_in_scope,enforcement,profile_name,current_phase,status,domain
local_offline_contract_layer,Monte Carlo robustness and parameter stability contract definitions executed locally/offline.,True,MANDATORY,balanced_local_monte_carlo_robustness_contracts,149,monte_carlo_contract_ready,monte_carlo_scope_domain
resampling_and_bootstrap_specifications,"Block bootstrap, stationary bootstrap, and return path resampling schemas.",True,MANDATORY,balanced_local_monte_carlo_robustness_contracts,149,monte_carlo_contract_ready,monte_carlo_scope_domain
parameter_stability_and_sensitivity_contracts,"Parameter perturbation ranges, plateau detection, and fragility indicators.",True,MANDATORY,balanced_local_monte_carlo_robustness_contracts,149,monte_carlo_contract_ready,monte_carlo_scope_domain
bias_and_lookahead_guards,"Guards preventing resampling data leakage, data snooping, and survivorship bias.",True,MANDATORY,balanced_local_monte_carlo_robustness_contracts,149,monte_carlo_contract_ready,monte_carlo_scope_domain
phase_150_governance_handoff,Prerequisite compilation for Phase 150 Backtest Governance and Bias Control.,True,MANDATORY,balanced_local_monte_carlo_robustness_contracts,149,monte_carlo_contract_ready,monte_carlo_scope_domain
true_monte_carlo_execution,Generating actual simulated random paths or synthesized asset prices.,False,PROHIBITED,balanced_local_monte_carlo_robustness_contracts,149,monte_carlo_contract_ready,monte_carlo_scope_domain
bootstrap_simulation_execution,Drawing physical bootstrap samples or calculating resampled distributions.,False,PROHIBITED,balanced_local_monte_carlo_robustness_contracts,149,monte_carlo_contract_ready,monte_carlo_scope_domain
parameter_optimization_and_sweeps,"Running grid search, evolutionary algorithms, or parameter optimization.",False,PROHIBITED,balanced_local_monte_carlo_robustness_contracts,149,monte_carlo_contract_ready,monte_carlo_scope_domain
real_metric_and_var_calculation,"Computing actual VaR, Expected Shortfall, or empirical Sharpe distributions.",False,PROHIBITED,balanced_local_monte_carlo_robustness_contracts,149,monte_carlo_contract_ready,monte_carlo_scope_domain
model_training_and_prediction,"Model fitting, ML inference, prediction generation, or target label creation.",False,PROHIBITED,balanced_local_monte_carlo_robustness_contracts,149,monte_carlo_contract_ready,monte_carlo_scope_domain
live_trading_and_broker_execution,"Connecting to broker APIs, placing real/paper orders, or generating trade signals.",False,PROHIBITED,balanced_local_monte_carlo_robustness_contracts,149,monte_carlo_contract_ready,monte_carlo_scope_domain
investment_advice_and_performance_guarantees,Producing directional recommendations or claiming guaranteed strategy returns.,False,PROHIBITED,balanced_local_monte_carlo_robustness_contracts,149,monte_carlo_contract_ready,monte_carlo_scope_domain
